Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
Sensib pro Centre Régional d'Information Jeunesse Nouvelle Aquitaine (CRIJ NA),33,Rencontre structure,,,,,,,,,,,Centre Régional d'Information Jeunesse Nouvelle Aquitaine (CRIJ NA),CRIJ NA - Bordeaux,,
Sensib pro Relais Popote du MJC centre de loisirs,33,Rencontre structure,,,,,,,,,,,Relais Popote du MJC centre de loisirs,CCAS de Bordeaux,,
Sensib pro Association AMI,33,Rencontre structure,,,,,,,,,,,Association AMI,Accompagnement psychologique et Médiation Interculturelle,,
Rencontre CAF (service aux droits),33,Réunion de service,Stagiaire,,,,,,,"Ajouter au guide les points relais CAF et les permanences 
","Demander les contacts de Paris et LA (Demande par mail attente)
Possibilité de faire des sensi dans le spoints relais A VOIR
",,CAF Bordeaux,CAF,,
Sensib bénéficiaire Oxygène,33,Permanence,,,,,,,,,,,Oxygène,Oxygène,,
Sensib pro ASP Auros,33,Rencontre structure,,,,,,,,,,,France Services antenne Auros,France Service Reolais en Sud Gironde,,
Sensib pro Le 4 de Bordeaux ,33,Rencontre structure,,,,2.0,,1.0,,,,,Le 4 de Bordeaux ,Association le 4 de Bordeaux Siège Social,,
Sensib pro PLIE,33,Rencontre structure,Stagiaire,Juliette Lautrain,,,,,,,,,Maison de l'emploi (PLIE),Maison de l'Emploi (MDE Bordeaux),,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro La Maison des Femmes,33,Rencontre structure,,,,,,,,,,,La Maison des Femmes Bordeaux,La Maison des Femmes de Bordeaux,,
Sensib bénéficiaire Graines de solidarité,33,Permanence,,,,,,,,,,,Graines de solidarité,Graines de solidarité,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Merci pour l'invit',33,Rencontre structure,,,,,,,,,,,Merci pour l'invit',Association Solinum,,
Sensib pro Diaconat de Bordeaux,33,Rencontre structure,,,,,,,,,,,Diaconat de Bordeaux,Diaconat de Bordeaux,,
Sensib pro Espace Bébé-Parents,33,Rencontre structure,,,,,,,,,,,Pôle social Croix-Rouge de Bordeaux,Croix Rouge Française,,
Sensib pro PIMMS de Bordeaux ,33,Rencontre structure,,,,,,,,,,,PIMMS de Bordeaux ,PIMMS de Bordeaux métropole,,
Sensib pro CAF Bordeaux,33,Rencontre structure,,,,,,,,,,,CAF Bordeaux,CAF,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Emmaüs Connect Bordeaux,33,Rencontre structure,,,,,,,,,,,Emmaüs Connect Bordeaux,Emmaüs Connect,,
Diffusion des listes Soliguide,33,,,,,,,,,,,,,,,
Sensib pro Vict'aid,33,Rencontre structure,,,,,,,,,,,Vict'aid,Institut Don Bosco,,
Sensib pro Caan'abus,33,Rencontre structure,,,,,,,,,,,Caan'abus,Caan'abus Bordeaux,,
Sensib pro Le Pain de l'Amitié,33,Rencontre structure,,,,,,,,,,,Le Pain de l'Amitié,Le Pain de l'Amitié,,
Sensib pro Atelier Graphite,33,Rencontre structure,,,,,,,,,,,Atelier Graphite,Atelier Graphite,,
sensib pro Centre de distribution de   Saint-Herblain,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saint-Herblain,Restos du Cœur 44,,
sensib pro Centre de distribution de   Pornic,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Pornic,Restos du Cœur 44,,
sensib pro Centre de distribution de   Clisson,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Clisson,Restos du Cœur 44,,
sensib pro Centre Socioculturel Pilotière,44,Rencontre structure,,,,,,,,,,, Centre socioculturel Pilotière,ACCOORD,,
sensib pro Centre de distribution de   Châteaubriant,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Châteaubriant,Restos du Cœur 44,,
sensib pro La Croix-Rouge antenne de   Vallet,44,Rencontre structure,,,,,,,,,,,La Croix-Rouge antenne de Vallet,Croix-Rouge Française - 44,,
sensib pro AAD NVPDL - Maison des   Haubans ,44,Rencontre structure,,,,,,,,Supprimé : car regroupé avec fiche maison des haubans,,,,,,
sensib pro La restauration ,44,Rencontre structure,,,,,,,,,,,La restauration ,Aurore,,
sensib pro Marraines et vous ,44,Rencontre structure,,,,,,,,,,,Marraine et vous ,Marraine et vous,,
sensib pro L’entr’ACT,44,Rencontre structure,,,,,,,,,,,L’entr’ACT,Aurore,,
sensib pro PASS Jean-Guillon,44,Rencontre structure,,,,,,,,,,,PASS Jean-Guillon,CHU Nantes | PASS Jean-Guillon,,
sensib pro Centre de distribution du   Croisic,44,Rencontre structure,,,,,,,,,,,Centre de distribution du Croisic,Restos du Cœur 44,,
sensib pro Centre de distribution de La   Baule,44,Rencontre structure,,,,,,,,,,,Centre de distribution de La Baule,Restos du Cœur 44,,
sensib pro Centre Communal d'Action   Sociale (CCAS) de Rezé,44,Rencontre structure,,,,,,,,,,,Centre Communal d'Action Sociale (CCAS) de Rezé,Ville de Rezé,,
sensib pro Vestiboutique Bouguenais,44,Rencontre structure,Service civique,,,2.0,,,,"Rencontre improvisée avec 2 bénévole gérant la vestiboutique : Présentation de Soliguide,",,,Vestiboutique Bouguenais,Croix-Rouge Française - 44,,
sensib pro Association La Cloche – Projet   du Carillon de Nantes,44,Rencontre structure,"Stagiaire,Service civique",,,2.0,,10.0,,"Rencontres régulières avec la cloche : Nous nous sommes rendus à l'accueil café du mercredi matin. C'était sympa nous avons discuté, parlé du soliguide et donné des flyers aux bénéficiaires présent.",,,Repère du Carillon - Wattignies,La Cloche Pays de la Loire,,
sensib pro Centre de Lutte   AntiTuberculeuse,44,Rencontre structure,,,,,,,,,,,Centre de Lutte AntiTuberculeuse,CH Saint-Nazaire,,
sensib pro Piscine Petite Amazonie,44,Rencontre structure,,,,,,,,,,,Piscine Petite Amazonie,Ville de Nantes | Piscines,,
sensib pro Passerelle Logement ,44,Rencontre structure,,,,,,,,,,,CLLAJ Passerelle Logement ,Edit de Nantes Habitat Jeunes,,
sensib pro Centre de distribution de   Guérande,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Guérande,Restos du Cœur 44,,
sensib pro Centre socioculturel   Bourderies,44,Rencontre structure,Service civique,,,2.0,,,,,,,Centre Socioculturel Bourderies,ACCOORD,,
sensib pro La Malle à Case,44,Rencontre structure,,,,,,,,,,,La Malle à Case,La Malle à Case,,
sensib pro Boutique Madeleine - Fripes et   Bidules,44,Rencontre structure,,,,,,,,,,,Boutique Madeleine - Fripes et Bidules,Secours Populaire Français | Loire-Atlantique,,
sensib pro Centre de distribution de   Saint-Viaud,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saint-Viaud,Restos du Cœur 44,,
sensib pro Centre de distribution de   Nozay,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Nozay,Restos du Cœur 44,,
sensib pro WELCOME,44,Rencontre structure,,,,,,,,"mail envoyé le 14/01, rdv fixé appel le 24/01, rdv le 28/02 doit nous renvoyer la fiche, relance mail le 13/03, fiche reçue le 26/03, MAJ 11/06",,,WELCOME,JRS 44,,
sensib pro Centre de distribution de Legé,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Legé,Restos du Cœur 44,,
sensib pro Bains-douches municipaux,44,Rencontre structure,,,,,,,,Fermé ,,,Bains-douches municipaux,,,
sensib pro Centre de distribution de   Saint-Philbert-de-Grandlieu,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saint-Philbert-de-Grandlieu,Restos du Cœur 44,,
Collectif nantais du Refus de la misère ,44,,"Stagiaire,Service civique",,,,,,,Participation à l'une des réunions du collectif nantais du Refus de la misère et présentation du Soliguide de façon informelle ,Journée d refus de la misère en septembre - Participation de Soliguide ? ,,,,,
sensib pro Centre de distribution de   Nort-sur-Erdre,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Nort-sur-Erdre,Restos du Cœur 44,,
1ères assises nantaises de l'hébergement pour toutes et tous ,44,,Stagiaire,,,,,,,Connaissance de l'environnement et des différentes associations militantes pour un hébergement pour tous à Nantes ,Participer aux prochaines ? ,,,,,
sensib pro Centre de distribution   d’Ancenis,44,Rencontre structure,,,,,,,,,,,Centre de distribution d’Ancenis,Restos du Cœur 44,,
sensib pro SOS inceste et violences   sexuelles ,44,Rencontre structure,,,,,,,,"mail le 29/01, relance le 25/02 - 19/03, validée, 11/06, 24/06",,,SOS inceste et violences sexuelles - Nantes,SOS inceste et violences sexuelles,,
sensib pro Pop'fringues,44,Rencontre structure,,,,,,,,,,,Pop'fringues,Secours Populaire Français | Loire-Atlantique,,
sensib pro AAD NVPDL - Quartier Bottière,44,Rencontre structure,,,,,,,,Supprimé car intégré à la maison de quartier,,,,,,
sensib pro Centre de distribution de la   Chapelle-sur-Erdre,44,Rencontre structure,,,,,,,,,,,Centre de distribution de la Chapelle-sur-Erdre,Restos du Cœur 44,,
sensib pro Centre de distribution de la   Bernerie-en-Retz,44,Rencontre structure,,,,,,,,,,,Centre de distribution de la Bernerie-en-Retz,Restos du Cœur 44,,
sensib pro Solidari'Meubles,44,Rencontre structure,,,,,,,,"Mail le 07/02, 26/02, 19/03, validée, 11/06 - 24/06",,,Solidari'Meubles,Secours Populaire Français | Loire-Atlantique,,
,44,,,,,,,,,,,,,,,
sensib pro Centre socioculturel Bellevue,44,Rencontre structure,,,,,,,,Rencontre avec 2 jeunes stagiaires ou service civique : Présentation Soliguide + échange sur leurs actions + révision de la fiche ensemble.,,, Centre Socioculturel de Bellevue,ACCOORD,,
sensib pro Centre de distribution   d’Orvault,44,Rencontre structure,,,,,,,,,,,Centre de distribution d’Orvault,Restos du Cœur 44,,
sensib pro Centre de distribution de   Saint-Gildas-des-bois,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saint-Gildas-des-bois,Restos du Cœur 44,,
sensib pro Maison des Citoyens du Monde,44,Rencontre structure,,,,,,,,,,,Maison des Citoyens du Monde,PACCO,,
sensib pro Centre de distribution de   Saint-Nazaire,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saint-Nazaire,Restos du Cœur 44,,
sensib pro Le Devoir d'agir,44,Rencontre structure,,,,,,,,,,,Le Devoir d'agir,Le Devoir d'agir,,
sensib pro CSAPA,44,Rencontre structure,,,,,,,,,,,CSAPA Oppelia Le Triangle,Oppelia - Le triangle,,
sensib pro Centre de distribution de   Pontchâteau,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Pontchâteau,Restos du Cœur 44,,
sensib pro Distributeur-échangeur de   seringues Moutonnerie,44,Rencontre structure,,,,,,,,"Validé par une de mes camarades de promo qui y est en stage 20/02, 11/06 - 24/06",,,Distributeur-échangeur de seringues Moutonnerie,Oppelia - Le triangle,,
sensib pro Centre de distribution du   Pellerin,44,Rencontre structure,,,,,,,,,,,Centre de distribution du Pellerin ,Restos du Cœur 44,,
sensib pro La Maison de Marthe et Marie,44,Rencontre structure,,,,,,,,,,,La Maison de Marthe et Marie,La Maison de Marthe et Marie,,
sensib pro Centre de distribution du   Pouliguen,44,Rencontre structure,,,,,,,,,,,Centre de distribution du Pouliguen,Restos du Cœur 44,,
sensib pro Centre de distribution de   Couëron,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Couëron,Restos du Cœur 44,,
sensib pro Le Bus du cœur Quai Baco,44,Rencontre structure,,,,,,,,,,,Le Bus du cœur Quai Baco,,,
sensib pro Une vie sans faim,44,Rencontre structure,,,,,,,,"Contactés 08/04 - réponse ok avec fiche 09/04 / visite le 19/04 - mail 23/04 pour post fb - relance fb + maj été 28/05, réponse 29/05 avec dates fermeture , 11/06",,,Une vie sans faim,Une vie sans faim,,
sensib pro L'autre cantine,44,Rencontre structure,,,,,,,,,,,L'autre cantine,L'Autre cantine,,
sensib pro Centre de distribution de   Saffré,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Saffré,Restos du Cœur 44,,
sensib pro Distributeur-échangeur de   seringues chaussée de la Madeleine,44,Rencontre structure,,,,,,,,"Validé par une de mes camarades de promo qui y est en stage 20/02, 11/06 - 24/06",,,Distributeur-échangeur de seringues Chaussée de la Madeleine,Oppelia - Le triangle,,
sensib pro Association Dynamixt -   Multisport,44,Rencontre structure,,,,,,,,,,,Association Dynamixt - Multisport,Dynamixt,,
sensib pro Centre de distribution de   Pornichet,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Pornichet,Restos du Cœur 44,,
sensib pro Centre social recherche et   rencontres,44,Rencontre structure,,,,,,,,,,,Solipsy,Centre social recherche et rencontres,,
sensib pro Grand Magasin,44,Rencontre structure,"Stagiaire,Service civique",,,,,,,,Rencontre avec Philippe comtesse ,,Grand Magasin,Stations Services ,,
sensib pro La Halle aux Bagages,44,Rencontre structure,,,,1.0,,,,"Rencontre avec le directeur : Il n'avait pas beaucoup de temps et nous sommes passé à l'improviste donc une rapide présentation du Soliguide et distribution de flyers et d'affiches.
 ",,,La Halle aux Bagages,Association Saint-Benoît Labre,,
sensib pro Centre de distribution du   Loroux-Bottereau,44,Rencontre structure,,,,,,,,,,,Centre de distribution du Loroux-Bottereau,Restos du Cœur 44,,
sensib pro Centre de distribution Dalby,44,Rencontre structure,,,,,,,,,,,Centre de distribution Dalby,Restos du Cœur 44,,
sensib pro Centre de distribution de   Guémené Penfao,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Guémené Penfao,Restos du Cœur 44,,
sensib pro Centre de distribution de   Vallet,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Vallet,Restos du Cœur 44,,
sensib pro Centre de distribution de   Savenay,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Savenay,Restos du Cœur 44,,
sensib pro Centre de distribution de   Machecoul,44,Rencontre structure,,,,,,,,,,,Centre de distribution de Machecoul,Restos du Cœur 44,,
sensib pro Antenne trébuchet,44,Rencontre structure,,,,,,,,Fermé ,,,Antenne trébuchet,,,
Sensib pro Relais  Logement (anciennement Acceuil Guy Freyche),75,Rencontre structure,,,,,,,,,,,Relais  Logement (anciennement Accueil Guy Freyche),,,
Sensib pro Hôpital  Européen Georges-Pompidou - PASS,75,Rencontre structure,,,,,,,,,,,Hôpital  Européen Georges-Pompidou - PASS,Hôpital  Européen Georges-Pompidou - PASS,,
Sensib pro PMI  Rébéval,75,Rencontre structure,,,,,,,,,,,PMI  Rébéval,Ville de Paris | PMI,,
Sensib pro Accueil  Sarrette,75,Rencontre structure,,,,,,,,,,,Caritas Sud Sarette - Secours catholique,"Secours Catholique Français | Accueil Sarrette,Secours Catholique | Délégation de Paris",,
Sensib pro PIMMS  Paris Sud-Est,75,Rencontre structure,,,,,,,,,,,PIMMS  Paris Sud-Est,PIMMS,,
Sensib pro SPP et CASVP du 4ème,75,Rencontre structure,,,,,,,,,,,"""Le Centre d'action sociale de la Ville de Paris (CASVP) et son SSP (Service Social de Proximité) des 1er, 2ème, 3ème et 4ème""",CASVP,,
Sensib pro Emmaüs  Connect,75,Rencontre structure,,,,,,,,,,,Emmaüs  Connect,Emmaüs | Emmaüs Connect,,
Sensib pro Bagagerie  Antigel,75,Rencontre structure,,,,,,,,,,,Bagagerie  Antigel,Antigel,,
Sensib pro ESI  La maison du 13e,75,Rencontre structure,,,,,,,,,,,ESI La maison du 13e,Emmaüs Solidarité,,
Sensib pro Maison  Caritas Paris Ouest,75,Rencontre structure,,,,,,,,,,,Maison Caritas Batignolles Paris Ouest,Secours Catholique | Délégation de Paris,,
Sensib pro ESI Centre René Coty,75,Rencontre structure,,,,,,,,,,,ESI Centre René Coty,ESI Halle Saint-Didier et ESI René Coty,,
Sensib pro Espace Paris Jeunes Belleville,75,Rencontre structure,,,,,,,,,,,Espace Paris Jeunes Belleville,Ville de Paris | Espaces Paris Jeunes,,
Sensib pro Compagnons  de la nuit - La Moquette,75,Rencontre structure,,,,,,,,,,,Compagnons de la nuit - La Moquette,Compagnons de la nuit - La Moquette,,
Sensib pro CeGIDD  Hôpital Fernand Widal - Paris,75,Rencontre structure,,,,,,,,,,,CeGIDD Hôpital Fernand Widal - Paris,Hôpital Fernand Widal,,
Sensib pro Point  Paris Emploi (PPE) 14e arr.,75,Rencontre structure,,,,,,,,,,,Point  Paris Emploi (PPE) 14e arr.,PPE Mairie de Paris,,
Sensib pro Centre  Social et Culturel 13 pour tous,75,Rencontre structure,,,,,,,,,,,Centre Social et Culturel 13 pour tous,Centre Social et Culturel 13 pour tous / Mairie Mobile Ville de Paris,,
Sensib pro Espace Paris Jeunes le 27,75,Rencontre structure,,,,,,,,,,,Espace Paris Jeunes le 27,Ville de Paris | Espaces Paris Jeunes,,
Sensib pro Emmaüs  Connect,75,Rencontre structure,,,,,,,,,,,Emmaüs  Connect,Emmaüs | Emmaüs Connect,,
Sensib pro Service  Insertion Jeunes,75,Rencontre structure,,,,,,,,,,,,,,
Sensib pro CSAPA CAP 14,75,Rencontre structure,,,,,,,,,,,CSAPA CAP 14,CSAPA | CSAPA CAP 14,,
Sensib pro Saint  Pierre de Montrouge,75,Rencontre structure,,,,,,,,,,,Saint-Pierre de Montrouge,Secours Catholique | Délégation de Paris,,
Sensib pro Les  Amis de la Bienvenue,75,Rencontre structure,,,,,,,,,,,Les Amis de la Bienvenue,Association Les Amis de la Bienvenue,,
Sensib pro Secours  emploi,75,Rencontre structure,,,,,,,,,,,Secours emploi,Association intermédiaire d'insertion | Secours emploi,,
Sensib pro Le Filon,75,Rencontre structure,,,,,,,,,,,Le Filon,Le Filon,,
Sensib pro Centre  Socioculturel Maurice Noguès/Léo Lagrange - Nord Ile-de-France,75,Rencontre structure,,,,,,,,,,,Centre Socioculturel Maurice Noguès/Léo Lagrange - Nord Ile-de-France,Centre Socioculturel Maurice Noguès/Léo Lagrange - Nord Ile-de-France,,
Sensib pro Service  accueil et domiciliation,75,Rencontre structure,,,,,,,,,,,Service  accueil et domiciliation,CASP (centre d'action sociale protestant) | Service Accueil et Domiciliation,,
Sensib pro CSAPA  Gaïa,75,Rencontre structure,,,,,,,,,,,CSAPA Gaïa,Association Gaïa ,,
Sensib pro Point  d'accès au droit (PAD) 20,75,Rencontre structure,,,,,,,,,,,Point d'Accès au Droit (PAD) 20,Ville de Paris | Point d'Accès au Droit (PAD) 20,,
Sensib pro Espace Paris Jeunes Taos Amrouche - Site Rigoles,75,Rencontre structure,,,,,,,,,,,Espace Paris Jeunes Taos Amrouche - Site Rigoles,Ville de Paris | Espaces Paris Jeunes,,
Sensib pro Antenne de Paris 12 (Immaculée Conception),75,Rencontre structure,,,,,,,,,,,Antenne de Paris 12 (Immaculée Conception),"""Aux Captifs, la Libération | Antenne de Paris 12 (Immaculée Conception)""",,
Sensib pro La  maison des Femmes de Paris,75,Rencontre structure,,,,,,,,,,,La  maison des Femmes de Paris,La maison des Femmes de Paris,,
Sensib pro EPN  Belleville,75,Rencontre structure,,,,,,,,,,,,,,
Sensib pro Juris  Secours Paris - Point Ecoute Femmes,75,Rencontre structure,,,,,,,,,,,Juris Secours Paris - Point Ecoute Femmes,Juris Secours ,,
Sensib pro FASTI,75,Rencontre structure,,,,,,,,,,,FASTI,FASTI,,
Sensib pro Maison  Caritas Grenelle,75,Rencontre structure,,,,,,,,,,,,,,
Sensib pro Unité  Locale du 4ème,75,Rencontre structure,,,,,,,,,,,Croix-Rouge - Unité Locale du 4ème,Croix-Rouge française ,,
"Sensib pro Femmes  pour le Dire, Femmes pour Agir",75,Rencontre structure,,,,,,,,,,,"""Femmes pour le Dire, Femmes pour Agir""","""Femmes pour le dire, Femmes pour agir""",,
Sensib pro Accueil de Jour Familles Coustou,75,Rencontre structure,,,,,,,,,,,Accueil de Jour Familles Coustou,Emmaüs Solidarité,,
Sensib pro ESI  familles Bonne Nouvelle,75,Rencontre structure,,,,,,,,,,,ESI familles Bonne Nouvelle,Centre d'action sociale protestant (CASP) et œuvre de secours aux enfants (OSE),,
Sensib pro Maison  Caritas Paris Sud,75,Rencontre structure,,,,,,,,,,,Maison Caritas Maison Blanche Paris Sud,Secours Catholique | Délégation de Paris,,
