Nom,Etat,Territoire,Source,Document à joindre,Notes,Lien,Date de parution,Référent
Codelico dépliant 2020,"Partenariat bloqué,Partenariat actif",67,Conseil Départemental,,,,2020-02-05,
Liste des services MAJ Covid-19,Données intégrées,67,CODELICO,,,http://codelico.67.free.fr/a_wp314/,2020-05-15,
Epicerie solidaire Paris,Données intégrées,75,Croix rouge,,,,,
Domiciliation Paris,Données intégrées,75,Ville de Paris,,,https://cdn.paris.fr/paris/2020/01/29/d01cc2c10e8a9d5acffb218c141126eb.pdf,,
Structures et numéros utiles,Données intégrées,75,Samu social - service régulation,,,,2011-01-01,
Fermeture Bibliothèques,Données intégrées,75,Bibliothèques Ville de Paris,,MàJ régulièrement ,https://bibliotheques.paris.fr/les-horaires.aspx,,
Cartographie SIAE,Données intégrées,75,Ville de Paris,,,http://capgeo.sig.paris.fr/Apps/SIAE/,,
Vestiaires paris par arrondissement,Données intégrées,75,Croix rouge,,,,,
Guide asile,Données intégrées,75,Watizat,,Renouvelé tous les mois,https://guideasile.wordpress.com/,2019-10-03,
Cart-O-FLE ile de france,Données intégrées,75,BPI,,,http://pro.bpi.fr/en/sites/Professionnels/contents/Contenus/collections-et-services/autoformation-a-la-bpi/outils-partages/carto-fle-ile-de-france.html,2016-06-01,
Consultations avocats gratuites,Données intégrées,75,Barreau de Paris,,,http://www.avocats.paris/contacts,,
Apprendre le français à Paris,Données intégrées,75,Ville de Paris,,,https://www.paris.fr/pages/apprendre-le-francais-a-paris-2959/,,
Liste PASS généralistes IDF,Données intégrées,75,Croix-rouge,,,,,
Dispositif premières heures,Données intégrées,75,Ville de paris,,,,,
BAAM français,Données intégrées,75,BAAM,,MàJ régulièrement,https://baamasso.org/en/ateliers-francais/,,
Saint Jean Baptiste de Grenelle,Données intégrées,75,,,plein d'activité d'nsertion/solidarité à checker ,https://www.sjbg.org/servir#Lesplusfragiles,,
BAAM legal,Données intégrées,75,BAAM,,MàJ régulièrement,https://baamasso.org/fr/permanences-juridiques/,,
Listing des épiceries sociales par département,Données intégrées,75,"Association des aidants des sans-abris, sdf et exclus",,,http://maraudes.fr/pratique/epiceries-sociales-departement/,,
Cartographie des dispositifs FLE,Données intégrées,75,,,Sur tout le territoire français,https://framacarte.org/fr/map/cartographie-des-dispositifs-de-fle_27360#13/48.8885/2.3694,,
Liste aide alimentaire,Données intégrées,75,L'église catholique de Paris,,,https://www.paris.catholique.fr/aide-alimentaire.html,,
Carto Paris distrib alimentaire,Données intégrées,75,Action Contre la Faim,,,http://umap.openstreetmap.fr/fr/map/carto-distrib_403589#13/48.8996/2.3692,,
Réseau alpha,Données intégrées,75,Réseau alpha,,,https://www.reseau-alpha.org/,,
Réseau Olga Spitzer ,Données intégrées,75,,,potentiel contact via crisp : guillaume.zicola@olgaspitzer.asso.fr. le monsieur nous a demandé de l'aide sur des services de livraison de course pour familles confinées a cause du covid. ,https://www.associationolgaspitzer.fr/nos-etablissements,,
Liste des EPN paris,Données intégrées,75,Ville de Paris,,,https://paris.centres-sociaux.fr/centres-sociaux-a-paris/accompagnement-au-numerique/,,
Permanences LDH et RESF,Données intégrées,75,LDH,,,http://site.ldh-france.org/idf/permanences-daccueil-daide-juridique/,,
Guide de la solidarité 2018/2019,"Données intégrées,Partenariat en cours",75,Ville de Paris,,Renouvelé tous les ans + une petite édition été,,2018-11-01,
RESEAU - Guide de l'urgence Pontault,A ajouter,77,Yves SERAYET <y.serayet@gmail.com> Directeur CCAS Pontault,,,,2021-01-29,Noëlène Guérin
SANTE,Données intégrées,78,,,a cartographier,https://www.montigny78.fr/famille-et-solidarite/sante/adresses-utiles.htm,,
Pôle d’accueil de proximité Sartrouville,Données intégrées,78,,,"5/9, rue Estienne d’Orves 78500 Sartrouville.

",,,
YVELINES,Données intégrées,78,,,ASSO AIDE SANS PAPIERS,http://site.ldh-france.org/poissy/permanences-associatives-yvelines/,,
csapa versailles ,Données intégrées,78,,,,https://www.oppelia.fr/etablissement/kairos-andresy-versailles/,,
CCAS Rennemoulin à carte,A ajouter,78,,,appeler mairie au 01 34 62 62 80,,,
resf 78 ,Données intégrées,78,,,a cartographier,http://www.resf78.ouvaton.org/,,
montigny ,Données intégrées,78,,,a carto,https://www.montigny78.fr/fileadmin/montigny/MEDIA/PDF/Guides/Guide_pratique_2019-2020.pdf,,
GHT VERSAILLES,Données intégrées,78,,,,http://www.ch-versailles.fr/Qui-sommes-nous/3/4/1,,
Emmaus trappes,Données intégrées,78,,,a carto,,,
PASS,Données intégrées,78,,,a carto,https://www.iledefrance.ars.sante.fr/precaires-annuaire-des-pass-et-outils-daccompagnement,,
carto,A ajouter,78,,,,https://www.lacellesaintcloud.fr/wp-content/uploads/2015/02/Livret-contact-insertion-2017-2019_VKP2.pdf,,
secteur d'action sociale,Données intégrées,78,,,"trappes , st germain",,,
croix rouge,Données intégrées,78,,,A cartographier les structures du sud velizy,https://yvelines.croix-rouge.fr/viroflayvelizy/,,
carto ,En cours d'ajout,78,,,,https://fr.calameo.com/read/006095421a9ac95cf2c08,,
CIDFF SUD 78 - accès à l'emploi,Données intégrées,78,,,A cartographier,,2020-08-03,
vérifier que les ML sont référencées,Données intégrées,78,,,,,,
CENTRE DE DEPISTAGE,Données intégrées,78,,,,https://www.sida-info-service.org/annuaire/Centre-De-Depistage-VIH-Sida-yvelines-78,,
"Société saint vincent de paul : ""réseau de charité""",En cours d'ajout,78,,,"à cartographier ! Route de Mantes, Septeuil
A contacter pour demander des infos : Marie Chantal FAU : 06 73 94 48 66",,,
carto,A ajouter,78,,,point accueil jeunes services,https://www.apajh78.org/qui-sommes-nous/l-association,,
carto ccas sud,Données intégrées,78,,,a carto,,,
les petits frères des pauvres,Données intégrées,78,,,,,,
MAIRIE LES CLAYS SOUS BOIS,Données intégrées,78,,,A Cartographier,https://www.lesclayessousbois.fr/fr/annuaire-des-associations-citoyennet,,
carto les centres de depistages,Données intégrées,78,,,,https://docs.google.com/spreadsheets/d/192Vy_teV-CwndXvRzuRnYZACUV5X8-Zs/edit#gid=251168041,,
Huda versailles,Données intégrées,78,,,a cartographier,,,
CCAS ,Données intégrées,78,,,référencé les ccas du nord des Yvelines qui ne sont pas encore sur le soliguide,,,
le chemin,En cours d'ajout,78,,,https://lechemin78.org,,,
accueil de jour,Données intégrées,78,,,a cartographier,http://www.sisiao.net/2019-05-03-lettre-ofpruh-planches.pdf,,
Horizon 78,Données intégrées,78,,,"à contacter : conseil et groupe d'écoute, voir tableau revco et contact gaelle Massot. 05/02 : intéressée pour référencement, attente retour infos pour fiche


",,,
Le perray ,A ajouter,78,,,a carto,https://leperray.fr/services-municipaux/,,
carto ldh Yvelines,Données intégrées,78,,,,http://site.ldh-france.org/idf/accueil/rubrique-2/sous-rubrique-2/yvelines/,,
CARTO UNAFAM SUD,Données intégrées,78,,,"Elancourt - Maurepas, Guyancourt-Voisins, La Verrière, Magny, Mantes-la-Ville, Montigny, Plaisir, Poissy, Rambouillet, ST Nom la Bretèche, Trappes, Velizy, Versailles.  ",https://www.unafam.org/sites/default/files/fichiers-joints/09-2020/UNAFAM_PERMANENCES%20Yvelines%20%20SEPT%202020.pdf,,
carto vestiboutique ,Données intégrées,78,,,,https://yvelines.croix-rouge.fr/chevreuse/,,
accès au droit yvelines,Données intégrées,78,,,a cartographier,,,
CARTO ,Données intégrées,78,,,,https://www.trappes.fr/demarches/sante-et-solidarite/point-services-aux-particuliers,,
La sauvegarde des yvelines,Données intégrées,78,,,"Aude Boulo rdv 10 février
",https://www.sauvegarde-yvelines.org/qui-sommes-nous/,,
CCAS de Versailles / Point Accueil Ecoute Jeunes et Espace Parents,Données intégrées,78,,,voir tableurs revco,,,
cimade versailles,Données intégrées,78,,,a cartographier,,,
epicerie sociale vernouillet,Données intégrées,78,,,"Ouverture le vendredi de 9 h à 12 h et de 13 h 30 à 16 h 30
Nouvelles dispositions sanitaires (prise de RDV toutes les 15 minutes, navette individuelle organisée toute la journée, pas d’accompagnants, file d’attente à l’extérieur du bâtiment, marquage au sol...).",,,
centre social albert schweitzer magny les hameaux,Données intégrées,78,,,contacté le 15.03.2021 (il y a une permanence du CIDFF,https://magny-les-hameaux.fr/ma-ville/services-municipaux/centre-social-albert-schweitzer,,
Mission locale de Mantes,Données intégrées,78,,,à cartographier !,https://www.mantes-actu.net/mission-locale-mantes-decouvrez-les-133-offres-demploi-de-la-semaine-44/,,
Alimentaire et autres site ville de versailles,Données intégrées,78,,,A cartographier,https://www.versailles.fr/ma-ville/solidarites-et-sante/precarite/aide-alimentaire/,,
adil 78,Données intégrées,78,,,Référencer permanences sud,https://www.adil78.org/,,
association second souffle,A ajouter,78,,,"voir mail florence 09.02
contact de la personne au 07 60 90 03 36 de la part d'amna du centre social albert schweitzer
",,,
Emmaus SOS Familles,Données intégrées,78,file:///C:/Users/UTILIS~1/AppData/Local/Temp/18_02_SOSFAMILLESEMMAUS.pdf,,"à référencer en tant que ""Accompagnement social sur orientation"" et ""conseil adminitratif""",,,
caf,Données intégrées,78,,,A Cartographier ,voir mail,,
offre de soin - carto santé mentale,En cours d'ajout,78,,,SQY - données santé mentale,,,
Nouvelles voies,Données intégrées,78,,,à regarder si déjà cartographier - cartographier !,http://nouvellesvoies.com/permanences/,,
secours catholique,Données intégrées,78,,,a cartographier,http://yvelines.secours-catholique.org/IMG/pdf/CRA_2019_version_web-2.pdf,,
APIV viroflay,A ajouter,78,,,"voir onglet contact sans fiche liée
https://www.google.com/search?client=safari&source=hp&ei=-5YSYMu8Lc29lwTBw6DwBg&q=apiv+viroflay&oq=APIV+&gs_lcp=CgZwc3ktYWIQAxgAMggIABDHARCvATICCAAyAggAMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgQIABAeMgYIABAKEB4yBAgAEB46BQgAELEDOggIABCxAxCDAToLCAAQsQMQxwEQowI6DggAELEDEIMBEMcBEK8BUOADWL0IYIUYaABwAHgAgAFjiAGdA5IBATWYAQCgAQGqAQdnd3Mtd2l6&sclient=psy-ab",,,
ateliers socio-linguistique,Données intégrées,78,,,,,,
CCAS Bailly à carto,Données intégrées,78,tableurs revco,,1 rue des Chênes 78870 BAILLY,,,
carto médiathèques,Données intégrées,78,,,SQY,https://e-mediatheque.sqy.fr/,,
elancourt,A ajouter,78,,,https://elancourt.fr/mon-quotidien/social/lannuaire-des-organismes-et-associationssociales,,,
CARTO,Données intégrées,78,,,MISSION LOCALE ACHERES,,,
ville du chesnay,Données intégrées,78,,,,http://www.lechesnay-rocquencourt.fr/Num%C3%A9ros-d-urgence/145/,,
Mairie de versailles infos ,Données intégrées,78,,,A cartographier,https://www.versailles.fr/ma-ville/solidarites-et-sante/precarite/aide-alimentaire/,,
RESF 78,Données intégrées,78,,,,https://www.educationsansfrontieres.org/?page=contacts&id_rubrique=822,,
bien être en yvelines,Données intégrées,78,,,"a carto Antenne de Rambouillet : Nathalie Aumont-Desdevises – 06 42 25 58 50

Antenne de Croissy sur Seine : Marie-Odile Brus – 01 39 76 54 99",http://www.bienetreenyvelines.fr/,,
UNAFAM Sud,Données intégrées,78,,,a cartgraphier voir mail boite mail Yvelines,,,
csc yvelines,Données intégrées,78,,,,,,
accès à l'eau et à l'hygiène,En cours d'ajout,78,,,,,,
carto,Données intégrées,78,,,"CATDB de Saint-Germain-en-Laye
(Centre d’Accueil Thérapeutique à Durée Brève)
Hôpital de Saint-Germain-en-Laye
20 rue Armargis
Tél : 01 39 27 42 03",,,
SECOURS CATHOLIQUE ,Données intégrées,78,,,"1. ROUTE 113, 2. PORCHEVILLE-EPM.

3. ÉLANCOURT-MAUREPASCOIGNIÈRES-ST RÉMY - Local : Hôtel Pariswest - Coignières
Activités : Atelier de français - Présence fraternelle et accompagnement des familles et des mineurs non accompagnés hébergés à l’hôtel.

4. Local : 1 avenue de Maurepas - Coignières
Activités : Accueil des mineurs non accompagnés - Activités récréatives
avec mineurs non accompagnés.

5. LE MESNIL ST-DENIS-LA VERRIERELEVIS-ST-NOM
6. Trappes 2e local : Local : Hôtel Pavillon Bleu - 1 route de Dreux
Activités : Accompagnement des familles et personnes hébergées -
Animation des enfants - Atelier de français.
7 . Secours catholique Villepreux-Les Clayes SECOND LOCAL : Local : Le Sémaphore, 6 mail des Écoliers - Les Clayes-sous-Bois
Activités : Accompagnement à la scolarité - Atelier de français 8. Local : Église Ste Bernadette - rue de la Paix
Tél. : 01 30 59 25 17 - Activités : Espace vêtements - Mobilier
9. Le vésinet : Local : Salle paroissiale de Ste Pauline - Tél. : 07 87 27 20 47
Activités : Repas convivial . 10. Versailles BUC 11. Velizy : Local : place de l'Aviation
Tél. : 01 61 12 93 17
Activités : Épicerie solidaire Local :  12. VERSAILLES Ste Bernadette -
St Symphorien : 14 allée Hector Berlioz  Activités : Accueil coiffure. 1 13. Local : 6 rue Edmé-Frémy
Activités : Apprentissage du français VERSAILLES Ste Élisabeth
14. Versailles MAF : Local : Maison d’arrêt, 28 avenue de Paris
Mail : secourscatholique78.maf@gmail.com
Activités : Accueil des arrivantes - Chorale - Atelier lecture -
Formation à la vente de textile.

15. Tél. : 06 74 50 27 03
Mail : sc.viroflay@laposte.net
Activités : Accompagnement à la scolarité - Accompagnement
personnalisé - Vacances familiales - Collectes alimentaires, mobilier,
vêtements.
Viroflay . 16. Chambourcy : Tél. : 01 74 12 80 60
Activités : Visites à domicile - Accompagnement individuel -
Accompagnement à la scolarité.
",,,
portail qui recensent structures,Données intégrées,78,,,a cartographier,https://associations.sqy.fr/annuaire/Pages/Accueil.aspx#k=alimentaire%20AND%20%20AAAdresseCommuneOWSCHCS%3A%22Plaisir%22%20AND%20%20owstaxIdAASecteurActivite1%3A%22%2388459bf0-fbab-47ff-812b-27e7a52f737f%22%20OR%20owstaxIdAASecteurActivite2%3A%22%2388459bf0-fbab-47ff-812b-27e7a52f737f%22%20OR%20owstaxIdAASecteurActivite3%3A%22%2388459bf0-fbab-47ff-812b-27e7a52f737f%22,,
IPC,Données intégrées,78,,,Carto à trappes : bilan de santé,,,
Croix rouge sur roue,Données intégrées,78,https://www.mairie-septeuil.fr/vivre-%C3%A0-septeuil/social-ccas/,,Permanences la croix rouge (minibus) à cartographier ! Il n'y a pas d'adresses fixe ! je l'ai mis avec l'unité locale en pays houdanais,,,
hiver solidaire (attention seulement l'hiver),A ajouter,78,,,,,,
ANNUAIRE ML ,Données intégrées,78,,,,https://annuaire.arml-idf.org/recherche-mission-locale,,
"CLLAJ (voisin du secours pop de trappes, demander à Lenica)",Données intégrées,78,,,,,,
carto permanences MJD,Données intégrées,78,,,,http://www.mjd-valdeseine.fr/antennes.html,,
ville d'achères,Données intégrées,78,,,a cartographier,http://www.mairie-acheres78.fr/lannuaire/page/3/,,
Structures montigny,Données intégrées,78,,,,https://www.montigny78.fr/fileadmin/montigny/MEDIA/PDF/Guides/montigny2020_Web2.pdf,,
Carto structure aide aux victimes,Données intégrées,78,,,,,,
carto paej,A ajouter,78,,,,https://www.yij78.org/sante/mal-etre-et-troubles-du-comportement/les-points-daccueil-et-decoute-jeunes-paej/,,
centre socioculturel trappes,Données intégrées,78,,,a carto,https://www.trappes.fr/demarches/sante-et-solidarite/lecrivain-public,,
"la POSS (Permanence d’Orientation Sanitaire et Sociale) Kairos, situé à Versailles",Données intégrées,78,,,carto : versailles,,,
ACSC,Données intégrées,78,,,A CARTOGRAPHIER,http://acsc.asso.fr/site/?page_id=62,,
planning familiale,Données intégrées,78,,,a carto,https://www.planning-familial.org/fr,,
hôpital Mignot,A ajouter,78,,,voir tableurs revco,,,
Maison de la justice et du droit Trappes,Données intégrées,78,,,a carto,,,
un sourire pour demain Limay,A ajouter,78,,,,,,
SS PAPIER,Données intégrées,78,,,,https://www.gisti.org/spip.php?article1506,,
la clef st germain activités culturelles ateliers numérique,Données intégrées,78,,,,,,
EPCICERIES SOCIALES,Données intégrées,78,,,a cartographier,http://maraudes.fr/pratique/epiceries-sociales-departement/,,
CHRS Stuart Mill ,Données intégrées,78,,,voir tableurs revco et contacts sans fiche liée Christel Ravier (attention la boutique solidaire stuart mill est déjà cartographiée),,,
ARISSE CMPP sud,Données intégrées,78,site arisse,,A cartographier,https://www.arisse.fr/trouver-un-etablissement,,
Espace emploi jouy en josas,A ajouter,78,,,,http://www.jouy-en-josas.fr/informations_emploi.aspx,,
CIDJ,Données intégrées,78,,,Point d'information jeunesse,https://www.yij78.org/information-jeunesse/le-reseau-information-jeunesse-en-yvelines/,,
ccas de versailles,Données intégrées,78,,,"a cartographier + CONTACT
Nathalie Pascal – Cheffe de service du Service d’action social du CCAS de la ville de Versailles

Tél. : 01 30 97 83 19/ 06 26 21 65 25
Courriel : nathalie.pascal@ccas-versailles.fr
De la part de madame de montangon - cheffe de service huda triel",voir lien mairie de versailles,,
carto centres socioculturels,Données intégrées,78,,,trappes,https://www.trappes.fr/demarches/sante-et-solidarite/les-centres-socioculturels,,
Permanences d'aide aux victimes - vérifier si manquantes,Données intégrées,78,,,http://www.cdad-yvelines.justice.fr/wp-content/uploads/2018/07/Liste_Permanences_AAV-2018.pdf,,,
croix bleue,Données intégrées,78,,,"Poissy et Versailles : 78 POISSY
78 MANTES LA JOLIE	Mr TENESI
Patrice	184 route d’Andresy bat 4
78955 CARRIERES Sous POISSY	01.39.65.39.52	06.29.84.37.87	patrice.tenesi
@wanadoo.fr	Site Internet
78 VERSAILLES	M. LANG
Ludovic	Maison de Quartier Notre Dame
7 rue Sainte-Sophie 78000 VERSAILLES	06.76.28.58.34	06.52.97.62.97	lacroixbleuedeversailles
@gmail.com	Site Internet	",https://www.croixbleue.fr/Paris-Ile-de-France,,
point relais caf,Données intégrées,78,,,a carto,,,
ST Germain ,A ajouter,78,,,carto,,,
clat,Données intégrées,78,,,a cartographier,,,
"Psycom, guide de la santé mentale",Données intégrées,78,psycom.org,,Edition 2019 du psycom,http://www.psycom.org/Brochures-d-info/Guide-sante-mentale-soins-accompagnement-et-entraide,,
"MLIV Permanences : chesnay, saint cyr et villacoublay",Données intégrées,78,,,a carto,http://www.mliv.org/wp-content/uploads/2017/07/RA-2017_VERSION-FINALE-web.pdf,,
carto maurepas,A ajouter,78,,,"https://www.maurepas.fr/index.php/Le-Tridim?idpage=15394&afficheMenuContextuel=true

",http://www.clg-pergaud-maurepas.ac-versailles.fr/IMG/pdf/alcoolfichecontactstablissements_1_.pdf,,
croix rouge,Données intégrées,78,,,A cartographier les structures du sud versailles,https://yvelines.croix-rouge.fr/versailles/,,
Restos du coeur,Données intégrées,78,,,centres de : Maurecourt et centre bébés de Poissy à cartographier,https://ad78.restosducoeur.org/centres-departementaux/,,
carto ML ,Données intégrées,78,,,,https://www.mliv.org/,,
CHRS lève toi et marche maurepas,A ajouter,78,,,"voir tableurs revco, quel organisme ? ",,,
référencer Vestiaire rambouillet,Données intégrées,78,,,2 rue de la paix sur rdv 01 30 59 25 17 - orientation TS (après demande TS),,,
CHRS Nouvelle étoile,Données intégrées,78,,,"voir tableurs revco
",,,
AFAVO ,A ajouter,78,,,"idée revco, à carto sur les yvelines",,,
CIMADE,Données intégrées,78,,,A cartographier,https://www.lacimade.org/wp-content/uploads/2019/03/Adresses-et-horaires-Cimade-IDF-15-03-2019.pdf,,
Maison de quartier bernard de jussieu,Données intégrées,78,,,à contacter : ophélie dujarrier https://www.versailles.fr/maisonsdequartier/bernard-de-jussieu/,,,
plaisir vestiaire,Données intégrées,78,,,verifier ou carto 2e antenne,,,
Versant psy,Données intégrées,91,,,Voir également l'asso Communauté Jeunesse,http://www.comjeun.fr/etablissements/peren-2/,,Emilie Donque
