Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
Newsletter Soliguide,Alexandra lefeivre,,,Equipe Soliguide,,"Avoir un éditeur de mailing intégré à Soliguide pour l'équipe Solinum et les porteurs de projets.
j'ai cet exemple sur MakeSense, il me semble que c'est un plugin intégré sur leur site mais ADR va se renseigner
https://programs.makesense.org/campaign/recHsR7OAMdrSHKQ5
Unlayer me parait pas mal après je ne sais pas comment ça fonctionne pour faire partir les emailing (SMTP) et nous aurons aussi besoin de toutes les statistiques de suivi et de mettre en place des listes de contacts automatisés par territoire et aussi par typologie d'acteurs.
Je crois que SB propose également une API :)
C'est une fonctionnalité qui va devenir importante lorsque nous aurons de plus en plus de porteurs de projets.",Plate-forme Web V2,17/1/2022,,,Négligeable,,,,,,,,,,,17/1/2022 7:21pm,,National
Invitations comptes pro par acteurs,Suzanne Danvin,,,Equipe Soliguide,,"Etre informée de l'invit de nouveaux mails par les pros connectés :
> soit via une alerte dans le canal Slack de mon territoire (inconvénients : ça peut faire bcp de messages Slack + ça implique de rentrer ensuite le contact à la main dans AT MAIS avantages : ça permet de mieux connaitre sa BDD)
> soit via une syncho régulière de Soliguide vers AT (comme fait en amont de la MAJ hiver de mémoire), avec com faite par l'équipe tech + possibilité de retrouver les contacts en question",Plate-forme Web V2,11/1/2022,,,Mineur,,,,,,,,,,,11/1/2022 12:41pm,,Val-de-Marne
Indiquer un message lorsqu'il n'y a pas de résultat de recherche,,,,Financeur,DDETSPP 36,"Qu'il y ait un message adapté en fonction des territoires.

Quand le territoire est en cours de déploiement : ""Les informations sont en cours d'enregistrement sur Soliguide. En attendant, contactez-nous sur le tchat"".

Quand le territoire n'est pas en cours de déploiement : ""La liste des structures de ce territoire n'existe pas encore sur Soliguide. En attendant, contactez-nous sur le tchat""",Multiple,26/1/2022,"""454-Vue """"pas de résultats""""""",,Majeur,,,,A traiter (+),,Retour Utilisateur,,,,,28/1/2022 1:15pm,DE RONNE ALICE ,Centre Val de Loire
URL fiches dupliquées,Suzanne Danvin,,,Equipe Soliguide,,Avoir un URL avec uniquement l'ID de la fiche.,Plate-forme Web V2,21/1/2022,948-URL lors des duplication de fiche,,Mineur,,,,A traiter (+),,Bug,,,,,28/1/2022 1:10pm,,Val-de-Marne
Remplacer le logo partenaire Alpes-Maritimes,Perrine Poupaud,,,Equipe Soliguide,,Je souhaite remplacer les logos actuels (voir capture jointes) par les logos joints (département + smart deal + Prefecture 06) ,Multiple,14/1/2022,926-Modifier logo 06,,Majeur,"Logos Partenaires.png (https://dl.airtable.com/.attachments/acf5b33e580b84223f1a028266ef4ab1/c0c86760/LogosPartenaires.png),Capture.PNG (https://dl.airtable.com/.attachments/a66442adfe261a4f0045fdb8d909a72d/da9f3df3/Capture.PNG)",,,A traiter (+),,Retour Utilisateur,,,,,14/1/2022 2:12pm,,Alpes-Maritimes
CECI N'EST PAS UN BUG - Affichage des résultats sur Soliguide,Servane Baron,,,Equipe Soliguide,,Que les résultats et tous les lieux apparaissent normalement. Quid de ce qu'on doit faire pour éviter cela et de ce qu'on doit modifier dans nos pratiques.,Plate-forme Web V2,14/1/2022,946-Card blanche sur la page de résultat de recherche,,Mineur,bug résultats.png (https://dl.airtable.com/.attachments/11f606591bf8ce80f82fe20e80d54015/d917c65d/bugrsultats.png),,En faisant des présentations publiques. ,A traiter (+),,Bug,,,,,28/1/2022 11:37am,,Hérault
Connexion au compte professionnel,Solinum Bas-Rhin,Alexis Moreau,alexis.moreau@fasge.eu,Partenaire opérationnel,FAS,Mettre en place un système de SSO (single sign on authentification) pour que les professionnels puissent se connecter depuis leurs comptes Google par exemple et/ou de passer outre la procédure d'authentification (magic link).,Multiple,13/1/2022,925-Connexion automatique à son compte,,Mineur,,,,A traiter (+),,Idée,,,,,14/1/2022 1:28pm,"Gamba Lucie
lucie.gamba@solinum.org",Bas-Rhin
Suivi des trad - Filtre par département,Suzanne Danvin,,,Equipe Soliguide,,Ajouter un filtre département sur cette vue.,Plate-forme Web V2,13/1/2022,"""923-Filtre """"département"""" sur les manage des traductions""",,Négligeable,,,,A traiter (+),,Retour Utilisateur,,,,,14/1/2022 1:18pm,,Val-de-Marne
Exports - Affichage publics,Suzanne Danvin,,,Structure de l'action sociale,Avec Elles,Intégrer cette donnée au CSV.,Plate-forme Web V2,11/1/2022,,,Majeur,,,,A traiter (+),📃 Liste papier,Retour Utilisateur,,,,,14/1/2022 12:46pm,Suzanne,Val-de-Marne
Les exports,Jimmy Bondu,,,Equipe Soliguide,,Que le nombre de résultats affichés et le nombre de fiches exportées soit identique.,Plate-forme Web V2,28/12/2021,,,Mineur,"202112281130.jpg (https://dl.airtable.com/.attachments/075e4ab7e743f71134e52169720f6070/05696725/202112281130.jpg),202112281133.jpg (https://dl.airtable.com/.attachments/82d2bf2a8dec1b7946fec70c6c0f6ccb/c1a2920c/202112281133.jpg)","Constatez que sur le manage-place il est indiqué que 285 structures correspondent à mon résultat de recherche, mais que seulement 273 structures sont en fait exportées (cf. le GSheet).

Une éventuelle piste de réflexion provient peut-être du fait qu'à certains endroits dans les prises seules sont exclues et parfois pas.

Dans tous les cas, c'est un bug à la fois urgent, car les nombres devraient être forcément identiques, mais pas urgent, car apparemment pas relevé auparavant des les périodes de rush sur les exports.
Cela montre peut-être que les structures touchées font probablement parties des structures exclues à certains endroits dans la recherche (wifi, toilette, addiction, etc.) et qui sont donc peu utiles pour les exports.","Par hasard, en faisant une review sur une PR de Pierre.",A traiter (+),📃 Liste papier,Bug,,,,,29/12/2021 2:51pm,,
Avoir la possibilité d'indiquer plusieurs créneaux pour les fermetures temporaires,Perrine Poupaud,,,Equipe Soliguide,,Pouvoir ajouter plusieur créneaux de fermeture séparés ,Multiple,14/12/2021,,,Majeur,,,,A traiter (+),,Retour Utilisateur,,,,,16/12/2021 11:53am,,Alpes-Maritimes
Pouvoir ajouter plusieurs fermetures,Victoria Mandefield,,,Equipe Soliguide,,"Pouvoir stacker les informations temporaires, afin de :
- garder les informations anciennes dans la base de données (data analyse youpi)
- pouvoir se baser sur les informations anciennes (ex : ""l'année dernière, vous avez fermé du 21 décembre au 3 janvier. Est-ce le cas également cette année ?"") dans nos communications
- pouvoir prévoir à l'avance des fermetures
- pouvoir mettre plusieurs fermetures à la suite sans avoir à se mettre des rappels
- permettre aux structures de se mettre bien à jour (si déjà nous on galère, on sait pas comment ils font eux)",Base de donnée,11/12/2021,,,Majeur,,,,A traiter (+),🏝 Fiche de structure à distance,Retour Utilisateur,,,,,14/12/2021 11:59am,,Hauts-de-Seine
Bouton pas de changement pas visible sur le formulaire de màj hiver,Pierre Blanchais,,,Equipe Soliguide,,Il faudrait que ce bouton soit plus visible ou alors faire en sorte qu'il se démarque à la suite du formulaire,Plate-forme Web V2,10/12/2021,,,Négligeable,,"Pendant que je lui montrais le site, j'ai l'ai peut-être trop orienté dans son utilisation du site",,A traiter (+),,Retour Utilisateur,,,,,14/12/2021 3:22pm,,Alpes-Maritimes
Voir les organismes liés aux fiches dans le manage-place,Perrine Poupaud,,,Equipe Soliguide,,Il faudrait avoir une colonne organismes avec des liens permettant d'accéder facilement aux organismes reliés aux fiches,Plate-forme Web V2,10/12/2021,835-Colonne des orga dans le manage-place,,Mineur,,,,A traiter (+),,Retour Utilisateur,,,,,14/12/2021 12:03pm,,Alpes-Maritimes
Export des autres informations du public,Victoria Mandefield,,,Equipe Soliguide,,Exporter la totalité des données importantes d'une fiche en CSV.,Base de donnée,8/12/2021,,,Mineur,,ex de fiche qui a un public avec champ libre : https://soliguide.fr/fiche/restaurant-emeraude-au-petit-remouleur-paris-10912 ,,A traiter (+),📃 Liste papier,Retour Utilisateur,,,,,9/12/2021 2:24pm,,National
Recherche par secteur / zone,Noëlène Guérin,,,Partenaire opérationnel,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recxusvg2Cjsu7ehS,Il a été remonté le souhait qu'on puisse rechercher sur différents groupements de communes sur le Soliguide. Avec peut-être un menu déroulant de ces zones administratives pré-enregistrées que l'on pourrait ajouter dans les modalités du public accueilli sur une fiche et dans la recherche sur la barre de recherche sur Soliguide.fr.,Plate-forme Web V2,6/12/2021,,,Mineur,,,,A traiter (+),"🍄 Recherche par pertinence,🖌 Refonte de la page de résultat de recherche ",Idée,,,,,8/12/2021 12:22pm,,
Il n'est pas possible de référencer des services en ligne,Perrine Poupaud,Maryline Maisto,m.maisto@agglo-casa.fr,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/reco6FdoEGO3GvmSg,Il serait interessant de pouvoir également référéencer les service en ligne notamment la carte LOL pour les jeunes qui leur permet d'avoir accès à des services gratuit ,Multiple,17/11/2021,,,Mineur,,,,A traiter (+),🏝 Fiche de structure à distance,Idée,,,,,26/11/2021 7:55pm,,
Catégorisation automatique des organismes,Victoria Mandefield,,,Equipe Soliguide,,"je remets ici pour être sûr que ce soit bien noté : https://airtable.com/app8UuuayA5hlzkBy/tblZhkE1TrRpdx9oI/viw0628Zx45gFS0Yt/recYtMymjM55UhRDv?blocks=hide
'Autonome : Acteur qui est autonome dans sa mise à jour, à remplir de façon automatique selon des critères à définir en lien avec notre cercle tech (ex : Médecins du monde, ADIL 44, Restos du cœur 67, Bagagerie Mimir (67))
Acteur majeur : Acteur qui regroupe beaucoup d'actions. Par facilité, il sera rempli manuellement et automatiquement en fonction du nombre de fiches liées, en lien avec notre cercle tech (ex : Secours catholique 33, Restos du coeur 44, Secours Populaire 67)'",Outils (pour collaborateurs),15/11/2021,,,,,,,A traiter (+),,Idée,,,,,6/12/2021 11:11am,,National
"Synchro ""compte crée"" su AT",Coline Rollet,,,Equipe Soliguide,,Le retour de la synchronisation automatique ?,Base de donnée,4/11/2021,,,Mineur,,https://soliguide.fr/organisations/2579,En checkant sur AT,A traiter (+),🔄 Synchronisation Airtable-Soliguide,Bug,,,,,4/11/2021 6:15pm,,Seine-Saint-Denis
Faute d'orthographe,Agathe Thomas,,,Equipe Soliguide,,"Remplacer ""compte créer"" par ""compte créé"" :) ",Plate-forme Web V2,4/11/2021,734-Orthographe,,,Capture d’écran 2021-11-04 à 11_46_21.png (https://dl.airtable.com/.attachments/3ea032b5f1691be99a54bba57a0741e1/2f3ca67e/Capturedecran2021-11-04a11_46_21.png),https://soliguide.fr/admin-users/manage,,A traiter (+),,Retour Utilisateur,,,,,4/11/2021 6:19pm,,Gironde
Filtrer par âge la recherche,Alice El Khoury Atieh,Leslie Morice,leslie.morice@croix-rouge.fr,Partenaire opérationnel,Croix Rouge DABE,"Tant que le filtre par âge n'est pas fonctionnel, conserver ""personne âgée"" dans le filtre public spécifique",Multiple,29/10/2021,,,Majeur,,,,A traiter (+),Refonte des filtres,Retour Utilisateur,,,,,5/11/2021 5:07pm,El Khoury Alice alice@solinum.org,National
Mauvais affichage de mon service,Chloé Lemaitre,,,Equipe Soliguide,,"Je souhaite que ça soit uniquement indiqué ""cours de français"". ",Plate-forme Web V2,27/10/2021,736-Erreur affichage front quand on modifie un service,,Mineur,"Capture&é.PNG (https://dl.airtable.com/.attachments/23dcf5d6f9f5ffb175a90324487b6a82/7bc8457b/Capture.PNG),Capture.PNG (https://dl.airtable.com/.attachments/1439f7c8ed977779b4069eea792dc8ab/9ce70304/Capture.PNG)","J'ai indiqué ""mineur"" car les fiches sont en brouillon sur soliguide manage. ",,A traiter (+),,Bug,,,,,5/11/2021 4:42pm,,Ille-et-Vilaine
Afficher la date d'envoi des invitations comptes pro et mettre en place une relance automatique,Perrine Poupaud,,,Autre,Solinum,"Je souhaiterais voir sur Soliguide la date d'envoi de l'invitation à un compte pro, et je souhaiterais aussi qu'un rappel automatique soit automatiquement envoyé au bout de 2 semaines si le compte pro n'a pas été activé. ",Multiple,12/10/2021,"812-Relance automatique des invitations à j+15,814-Date d'envoi (de la première) invitation",,Mineur,,,,A traiter (+),,Idée,,,,,18/1/2022 6:40pm,Perrine Poupaud perrine@solinum.org,Alpes-Maritimes
Ordre alpha des structures sur une orga,Agathe Thomas,Régis Cliquot ,,Association,Restos du coeur ,"Il serait beaucoup plus pratique de pouvoir classer les fiches par ordre alphabétique, et non par ordre de création. ",Plate-forme Web V2,15/9/2021,,,,,https://soliguide.fr/manage-organisation/3040,,A traiter (+),,Retour Utilisateur,,,,,23/12/2021 11:12am,,
,Solinum Gironde,,,Equipe Soliguide,,Je souhaiterais que les mises à jour soient bien actualisées sur Airtable,Base de donnée,28/7/2021,60-🔄 1 - Ajouter les AirtableID dans l'API,,Majeur,,"https://soliguide.fr/campaign/orga/3040
https://airtable.com/tbls7M9ievHhkdobW/viwCbg9Z5LNJrYesB/recpQFEV4TWbgiSqP?blocks=hide 

https://soliguide.fr/campaign/orga/319
https://airtable.com/tbls7M9ievHhkdobW/viwCbg9Z5LNJrYesB/recC0UOSX1JymvDGE?blocks=hide ","Je me suis connectée à mon compte pro Soliguide pour gérer les informations. Une fois sur la page de Management de l'organisation, je clique sur le lien ""Je fais ma mise à jour été"" pour vérifier que toutes les structures sont bien à jour (ce qui est le cas dans notre situation). Cependant, sur Airtable dans la vue  ""33 ☀️ à mettre à jour"" ces organismes apparaissent encore, alors que dans le détail des fiches toutes les structures sont validées. C'est le cas pour les Restos du Cœur et la Société Saint Vincent de Paul sur le 33.",A traiter (+),,Bug,,,,,4/11/2021 12:07pm,,
,Noémie Cohen,,,Equipe Soliguide,,"Pour la mise à jour hiver, rajouter la possibilité aux acteurs qui passe par ""editer la fiche"" de dire que les mises à jours à été fait pour la mise à jour été pour éviter cette confusion",Plate-forme Web V2,7/7/2021,,,Majeur,,,J'avais fait une remontée et cela a causé des pbs ensuite à  @Agathe Thomas  . ,A traiter (+),❄️ Màj hiver 2021,Bug,,,,,4/11/2021 12:07pm,,
,Siurana Oliveres,Ingrid Bergham (directrice) ,ingrid.berghman@we-job.com,Association,WeJob,"Elle a exprimé le souhait que les structures qui apparaissent sur la 1e page de résultat puissent tourner aléatoirement, c'est à dire que ce ne serait pas toujours les mêmes assos qui sont en 1er résultats dans la recherche. 
Sinon, elle souhaiterait que les asso qui apparaissent en dernier dans la liste apparaissent tout de même sur la carte dès la 1e page, ce qui permettrait de zoomer et de cliquer dessus. ",Plate-forme Web V2,25/6/2021,,,Majeur,,,,A traiter (+),🍄 Recherche par pertinence,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Professionnel de l'action sociale,Classe de BTS à qui j'ai fait une présentation,que les résultats d'aide alimentaire s'affiche ,Plate-forme Web V2,9/6/2021,,,Critique,bug.PNG (https://dl.airtable.com/.attachments/b9142ea751b08403cf22beb07d452f2d/fcdaa61a/bug.PNG),,"j'ai essayé sur plusieurs ordi différents, je viens de réessayer à l'instant, ça bug toujours. J'ai bien suivi le process habituel pour une recherche à savoir sélectionner l'expression etc",A traiter (+),🐍 Recherche par synonyme,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Professionnel de l'action sociale,,Avoir des résultats pour cette recherche,Plate-forme Web V2,9/6/2021,471-Chargement infini pour une recherche ,,Majeur,"02.PNG (https://dl.airtable.com/.attachments/2b01a94a84c4b8cff400d8461cf2d77a/ae6235dd/02.PNG),Capture d’écran 2021-06-22 à 14_47_36.png (https://dl.airtable.com/.attachments/47831b94b648e7cfa9c4a2d908f58d22/e4d34be2/Capturedecran2021-06-22a14_47_36.png)","Lorène : Même cas pour ""gynécologie"" et pour ""protection périodique""","Sur tous les ordinateurs, et j'ai refait la manipulation plus tard et c'est toujours le même problème.",A traiter (+),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Marie Boutin,,,Professionnel de l'action sociale,,"Que les résultats qui apparaissent pour hébergement à long terme ou accueil de jour où on peut se reposer apparaissent pour la recherche ""dormir""",Plate-forme Web V2,9/6/2021,,,Majeur,"03.PNG (https://dl.airtable.com/.attachments/cd71661467f5eac7a0fc32a914b62f0e/147d3df5/03.PNG),04.PNG (https://dl.airtable.com/.attachments/deebf60d7cf60b1cb8e3b4bf9da5437a/f26e602f/04.PNG)",,"Sur tous les ordinateurs, j'ai refais la recherche moi même, toujours le même problème",A traiter (+),🐍 Recherche par synonyme,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Association,Emmaüs Connect,"Avoir une version été et une version hiver du soliguide avec les structures spécialisées et les horaires de fermetures hivernales / estivales à jour
",Plate-forme Web V2,1/6/2021,395-☀️ Filtre ouvert/fermé,,,,,,A traiter (+),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Mathilde Eme-rabolt,,,115,SIAO 67,Il faudrait veiller à ce que les informations de fermeture s’affichent sur la page de résultats de recherche,Multiple,27/5/2021,,,Critique,"Fermeture temporaire.png (https://dl.airtable.com/.attachments/bff0fc5ebfd0500cdbb5d4b90931f3fa/92a6a7ed/Fermeturetemporaire.png),Fermeture temporaire (1).png (https://dl.airtable.com/.attachments/c275b5aa73a6a4b78260e8fcb0f84f18/d143b8be/Fermeturetemporaire1.png)","https://soliguide.fr/search/strasbourg/distribution-alimentaire
https://soliguide.fr/fiche/abribus-strasbourg-2204",,A traiter (+),🖌 Refonte de la page de résultat de recherche ,Bug,,,,,4/11/2021 12:07pm,,
,Agathe Thomas,,,Equipe Soliguide,,"Avoir toutes les fiches de Soliguide qui s'exportent, sans manques",Plate-forme Web V2,18/5/2021,,,Majeur,"Capture d’écran 2021-05-18 à 18.01.13.png (https://dl.airtable.com/.attachments/a50020598ec87ad69ae7ecc74613a135/c10584ba/Capturedecran2021-05-18a18.01.13.png),Capture d’écran 2021-05-18 à 18.01.54.png (https://dl.airtable.com/.attachments/4a87f64e61b85a0d7c44d06fcf61138a/5377ec40/Capturedecran2021-05-18a18.01.54.png)",,"J'ai exporté les fiches depuis Soliguide vers un document excel sur le drive (https://docs.google.com/spreadsheets/d/1Pro4iup4kwcPa-P4Ay0fSS5fwyuL9K6M-wLmEeOEnqQ/edit#gid=1628131065).
La même chose est arrivée quand j'ai exporté les fiches vers un document excel et vers un document Numbers sur mon ordi.",A traiter (+),📇 Export depuis Soliguide,Bug,,,,,4/11/2021 12:07pm,,
,Noëlène Guérin,,,Equipe Soliguide,,Que l'organisme ne soit plus indiqué sur les fiches qui sur AT ne sont affiliées à aucun organisme.,Plate-forme Web V2,14/5/2021,506-🔄 5 - Faire une première synchronisation des organisations,,Mineur,"Organisme apparaît sur fiche alors que pas affilié à orga sur AT.JPG (https://dl.airtable.com/.attachments/e7152ac6317f4bb9e9c3d2955a328d09/85dcadfb/OrganismeapparatsurfichealorsquepasaffiliorgasurAT.JPG),Organisme apparaît sur fiche alors que pas affilié à orga.JPG (https://dl.airtable.com/.attachments/3f0e9b4a69569f291d666442b36997f6/f5b1bd20/Organismeapparatsurfichealorsquepasaffiliorga.JPG)","Voivi l'URL de la fiche https://soliguide.fr/fiche/9063 
Et celui de l'AT https://airtable.com/tbl2ct2JGzizvGCVU/viwGnXPOk6eg44ldK?blocks=hide ","Je l'ai trouvé parce que je suis en train de finir de nettoyer les fiches du 77, j'ai trouvé ça le 14 mai 2021 vers 19h. J'utilise un PC sous Windows Chrome !

Bon courage et bonne journée à tous ♥",A traiter (+),,Bug,,,,,4/11/2021 12:07pm,,
,,,,Equipe Soliguide,,Avoir des résultats qui s'affichent même s'ils sont dans une autre ville que celle recherchée !,Plate-forme Web V2,22/2/2021,,,Critique,Capture d’écran 2021-02-22 à 14.43.23.png (https://dl.airtable.com/.attachments/651c524a3e67bc2aae0fc482369fba4d/dde16417/Capturedecran2021-02-22a14.43.23.png),,"Chrome, macOS Catalina 
=> en faisait une recherche sur Soliguide.fr pour clichy-sous-bois",A traiter (+),Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,,Sébastien Frigola,,Professionnel de l'action sociale,Accueil de jour Emmaüs Alternatives,"Que les bagageries à proximité s'affichent, et plus généralement que la recherche arrête d'être limitée par la ville entrée !",Plate-forme Web V2,22/2/2021,,,Critique,,,,A traiter (+),"Amélioration de la recherche,Regroupement de tous les tickets liées aux bugs sur la recherche",Retour Utilisateur,,,,,4/11/2021 12:07pm,,
Assurer la véritable unicité des indices pour les lieux,Jimmy Bondu,,,Equipe Soliguide,,Il faudrait baser le dernier ID disponible en se référant à la table de l'historique (placeChanges) plutôt qu'en se référant à la table des lieux.,Plate-forme Web V2,27/1/2022,949-Assurer la véritable unicité des indices pour les lieux,,Majeur,,"Entre majeur et mineur pour l'impact, car le bug est seulement constaté depuis peu, car on affiche plus d'historique sur les places depuis pas très longtemps maintenant. Mais en réalité, ça a déjà dû se produire des tas de fois par le passé et aucun incident grave ne s'est produit.",,A traiter (=),,Bug,,,,,28/1/2022 1:13pm,,
"L'ajout d'un nouveau filtre ""famille monoparentale"" dans les situations familiales",,,,Association,udaf 36,Sa création,Multiple,19/1/2022,,,Majeur,,,,A traiter (=),Refonte des filtres,Retour Utilisateur,,,,,28/1/2022 11:59am,Marie Merveille,
bug d'affichage dans le manage,,Gilles Lecroulant,,Partenaire opérationnel,Secours Catholique des Yvelines,"que le nom de la rubrique s'affiche plutôt que ""création d'une nouvelle structure""",Plate-forme Web V2,17/1/2022,936-Aperçu édition parcours mobile,,Mineur,image_1cs2arz.png (https://dl.airtable.com/.attachments/95a481aedc281ffe649f1e84376fe0ef/c79ef182/image_1cs2arz.png),"Gilles : ""non pas de problèmes. c'est simplement perturbant et peut faire croire que nous sommes sur une nouvelle fiche. Ce que j'ai cru la première fois""",remonté par Gilles via crisp :),A traiter (=),,Retour Utilisateur,,,,,28/1/2022 11:44am,charlotte@solinum.org ,Yvelines
Recueil des événements sur un territoire,Solinum Bas-Rhin,Karin Klein,kklein@siao67.fr,Partenaire opérationnel,SIAO 67,"Créer un recueil des événements par territoire (soit par ville soit par département) qui permettrait de renseigner ces types d'événements, que ce soit par l'équipe Soliguide ou les professionnels connectés à leurs comptes.",Multiple,13/1/2022,,,Mineur,,,,A traiter (=),Fil d'actualité,Idée,,,,,14/1/2022 1:24pm,"Gamba Lucie
lucie.gamba@solinum.org",Bas-Rhin
Pas d'historique de recherches,Suzanne Danvin,Responsable adjointe de l'EDS,,Professionnel,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/recWH8GyQubFnV5n4,Avoir une page d'historique des recherches (utile pour les bénéf),Plate-forme Web V2,11/1/2022,,,Mineur,,,,A traiter (=),Favoris,Idée,,,,,14/1/2022 12:17pm,,
