,index,departement,createdAt,lieu_id,categorie
50,1,Paris,2018-01,13,Douche
51,2,Paris,2018-01,13,Laverie
52,3,Paris,2018-01,13,Toilettes
53,4,Paris,2018-01,13,Accompagnement social
54,5,Paris,2018-01,13,Ordinateur
55,6,Paris,2018-01,13,Restauration assise
56,7,Paris,2018-01,13,Accueil de jour
57,0,Paris,2018-01,14,Accompagnement social
58,1,Paris,2018-01,14,Accueil de jour
59,0,Paris,2018-01,15,Domiciliation
60,1,Paris,2018-01,15,Accompagnement social
61,2,Paris,2018-01,15,Conseil administratif
62,3,Paris,2018-01,15,Restauration assise
63,4,Paris,2018-01,15,Accueil de jour
64,5,Paris,2018-01,15,Activités
65,0,Arrondissement de Paris,2018-01,16,Psychologie
66,1,Arrondissement de Paris,2018-01,16,Soins enfants
67,2,Arrondissement de Paris,2018-01,16,Généraliste
68,3,Arrondissement de Paris,2018-01,16,Suivi grossesse
69,4,Arrondissement de Paris,2018-01,16,Infirmerie
70,5,Arrondissement de Paris,2018-01,16,Formation français
71,6,Arrondissement de Paris,2018-01,16,Douche
72,7,Arrondissement de Paris,2018-01,16,Laverie
73,8,Arrondissement de Paris,2018-01,16,Permanence juridique
74,9,Arrondissement de Paris,2018-01,16,Accompagnement social
75,10,Arrondissement de Paris,2018-01,16,Restauration assise
76,11,Arrondissement de Paris,2018-01,16,Accueil de jour
77,12,Arrondissement de Paris,2018-01,16,Activités
78,0,Paris,2018-01,18,Psychologie
79,1,Paris,2018-01,18,Généraliste
80,2,Paris,2018-01,18,Formation français
81,3,Paris,2018-01,18,Accompagnement à l'emploi
82,4,Paris,2018-01,18,Douche
83,5,Paris,2018-01,18,Laverie
84,6,Paris,2018-01,18,Bien-être
85,7,Paris,2018-01,18,Permanence juridique
86,8,Paris,2018-01,18,Domiciliation
87,9,Paris,2018-01,18,Accompagnement social
88,10,Paris,2018-01,18,Numérisation de documents
89,11,Paris,2018-01,18,Restauration assise
90,12,Paris,2018-01,18,Accueil de jour
91,0,Paris,2018-01,19,Psychologie
92,1,Paris,2018-01,19,Généraliste
93,2,Paris,2018-01,19,Infirmerie
94,3,Paris,2018-01,19,Formation français
95,4,Paris,2018-01,19,Accompagnement à l'emploi
96,5,Paris,2018-01,19,Douche
97,6,Paris,2018-01,19,Laverie
98,7,Paris,2018-01,19,Bien-être
99,8,Paris,2018-01,19,Permanence juridique
100,9,Paris,2018-01,19,Domiciliation
101,10,Paris,2018-01,19,Accompagnement social
102,11,Paris,2018-01,19,Numérisation de documents
103,12,Paris,2018-01,19,Accueil de jour
104,13,Paris,2018-01,19,Activités
105,14,Paris,2018-01,19,Pédicure
106,0,Paris,2018-01,20,Psychologie
107,1,Paris,2018-01,20,Généraliste
108,2,Paris,2018-01,20,Dentaire
109,3,Paris,2018-01,20,Infirmerie
110,4,Paris,2018-01,20,Vétérinaire
111,5,Paris,2018-01,20,Douche
112,6,Paris,2018-01,20,Laverie
113,7,Paris,2018-01,20,Permanence juridique
114,8,Paris,2018-01,20,Accompagnement social
115,9,Paris,2018-01,20,Numérisation de documents
116,10,Paris,2018-01,20,Fontaine
117,11,Paris,2018-01,20,Accueil de jour
118,12,Paris,2018-01,20,Halte de nuit
119,13,Paris,2018-01,20,Dermatologie
120,14,Paris,2018-01,20,Pédicure
121,0,Arrondissement de Paris,2018-01,21,Addiction
122,1,Arrondissement de Paris,2018-01,21,Psychologie
123,2,Arrondissement de Paris,2018-01,21,Généraliste
124,3,Arrondissement de Paris,2018-01,21,Atelier numérique
125,4,Arrondissement de Paris,2018-01,21,Douche
126,5,Arrondissement de Paris,2018-01,21,Laverie
127,6,Arrondissement de Paris,2018-01,21,Toilettes
128,7,Arrondissement de Paris,2018-01,21,Permanence juridique
129,8,Arrondissement de Paris,2018-01,21,Accompagnement social
130,9,Arrondissement de Paris,2018-01,21,Conseil administratif
131,10,Arrondissement de Paris,2018-01,21,Numérisation de documents
132,11,Arrondissement de Paris,2018-01,21,Accueil de jour
133,12,Arrondissement de Paris,2018-01,21,Sport
134,13,Arrondissement de Paris,2018-01,21,Activités
135,14,Arrondissement de Paris,2018-01,21,Vêtements
136,0,Paris,2018-01,22,Psychologie
137,1,Paris,2018-01,22,Accompagnement à l'emploi
138,2,Paris,2018-01,22,Douche
139,3,Paris,2018-01,22,Laverie
140,4,Paris,2018-01,22,Conseil logement
141,5,Paris,2018-01,22,Permanence juridique
142,6,Paris,2018-01,22,Domiciliation
143,7,Paris,2018-01,22,Accompagnement social
144,8,Paris,2018-01,22,Conseil administratif
145,9,Paris,2018-01,22,Prise
146,10,Paris,2018-01,22,Numérisation de documents
147,11,Paris,2018-01,22,Restauration assise
148,12,Paris,2018-01,22,Fontaine
149,13,Paris,2018-01,22,Accueil de jour
150,14,Paris,2018-01,22,Activités
151,0,Paris,2018-01,24,Soins enfants
152,1,Paris,2018-01,24,Permanence juridique
153,2,Paris,2018-01,24,Accueil de jour
154,0,Arrondissement de Paris,2018-01,25,Psychologie
155,1,Arrondissement de Paris,2018-01,25,Formation français
156,2,Arrondissement de Paris,2018-01,25,Douche
157,3,Arrondissement de Paris,2018-01,25,Laverie
158,4,Arrondissement de Paris,2018-01,25,Toilettes
159,5,Arrondissement de Paris,2018-01,25,Conseil administratif
160,6,Arrondissement de Paris,2018-01,25,Accueil de jour
161,7,Arrondissement de Paris,2018-01,25,Espaces de repos
162,8,Arrondissement de Paris,2018-01,25,Activités
163,9,Arrondissement de Paris,2018-01,25,Bagagerie
164,0,Paris,2018-01,26,Psychologie
165,1,Paris,2018-01,26,Accompagnement à l'emploi
166,2,Paris,2018-01,26,Douche
167,3,Paris,2018-01,26,Laverie
168,4,Paris,2018-01,26,Bien-être
169,5,Paris,2018-01,26,Toilettes
170,6,Paris,2018-01,26,Conseil logement
171,7,Paris,2018-01,26,Permanence juridique
172,8,Paris,2018-01,26,Accompagnement social
173,9,Paris,2018-01,26,Conseil administratif
174,10,Paris,2018-01,26,Ordinateur
175,11,Paris,2018-01,26,Prise
176,12,Paris,2018-01,26,Fontaine
177,13,Paris,2018-01,26,Accueil de jour
178,14,Paris,2018-01,26,Halte de nuit
179,15,Paris,2018-01,26,Sport
180,16,Paris,2018-01,26,Bibliothèque
181,17,Paris,2018-01,26,Activités
182,18,Paris,2018-01,26,Vêtements
183,0,Arrondissement de Paris,2018-01,27,Psychologie
184,1,Arrondissement de Paris,2018-01,27,Accompagnement à l'emploi
185,2,Arrondissement de Paris,2018-01,27,Permanence juridique
186,3,Arrondissement de Paris,2018-01,27,Domiciliation
187,4,Arrondissement de Paris,2018-01,27,Conseil administratif
188,0,Paris,2018-01,28,Douche
189,1,Paris,2018-01,28,Accompagnement social
190,2,Paris,2018-01,28,Conseil administratif
191,3,Paris,2018-01,28,Ordinateur
192,4,Paris,2018-01,28,Restauration assise
193,5,Paris,2018-01,28,Accueil de jour
194,6,Paris,2018-01,28,Activités
195,0,Paris,2018-01,30,Prise
196,1,Paris,2018-01,30,Accueil de jour
197,0,Arrondissement de Paris,2018-01,31,Douche
198,1,Arrondissement de Paris,2018-01,31,Domiciliation
199,2,Arrondissement de Paris,2018-01,31,Accompagnement social
200,3,Arrondissement de Paris,2018-01,31,Conseil administratif
201,4,Arrondissement de Paris,2018-01,31,Colis Alimentaire
202,5,Arrondissement de Paris,2018-01,31,Accueil de jour
203,0,Arrondissement de Paris,2018-01,32,Généraliste
204,1,Arrondissement de Paris,2018-01,32,Infirmerie
205,2,Arrondissement de Paris,2018-01,32,Douche
206,3,Arrondissement de Paris,2018-01,32,Laverie
207,4,Arrondissement de Paris,2018-01,32,Bien-être
208,5,Arrondissement de Paris,2018-01,32,Protections périodiques
209,6,Arrondissement de Paris,2018-01,32,Accueil de jour
210,7,Arrondissement de Paris,2018-01,32,Pédicure
211,0,Paris,2018-01,33,Soutien scolaire
212,1,Paris,2018-01,33,Accompagnement social
213,2,Paris,2018-01,33,Accueil de jour
214,0,Paris,2018-01,34,Accueil de jour
215,0,Paris,2018-01,36,Toilettes
216,1,Paris,2018-01,36,Accompagnement social
217,2,Paris,2018-01,36,Prise
218,3,Paris,2018-01,36,Distribution alimentaire
219,4,Paris,2018-01,36,Accueil de jour
220,5,Paris,2018-01,36,Vêtements
221,0,Arrondissement de Paris,2018-01,37,Psychologie
222,1,Arrondissement de Paris,2018-01,37,Atelier numérique
223,2,Arrondissement de Paris,2018-01,37,Accompagnement à l'emploi
224,3,Arrondissement de Paris,2018-01,37,Douche
225,4,Arrondissement de Paris,2018-01,37,Laverie
226,5,Arrondissement de Paris,2018-01,37,Bien-être
227,6,Arrondissement de Paris,2018-01,37,Permanence juridique
228,7,Arrondissement de Paris,2018-01,37,Accompagnement social
229,8,Arrondissement de Paris,2018-01,37,Restauration assise
230,9,Arrondissement de Paris,2018-01,37,Colis Alimentaire
231,10,Arrondissement de Paris,2018-01,37,Fontaine
232,11,Arrondissement de Paris,2018-01,37,Vêtements
233,0,Paris,2018-01,39,Atelier numérique
234,1,Paris,2018-01,39,Formation français
235,2,Paris,2018-01,39,Accompagnement à l'emploi
236,3,Paris,2018-01,39,Soutien scolaire
237,4,Paris,2018-01,39,Conseil logement
238,5,Paris,2018-01,39,Ecrivain public
239,6,Paris,2018-01,39,Conseil administratif
240,0,Arrondissement de Paris,2018-01,41,Psychologie
241,1,Arrondissement de Paris,2018-01,41,Infirmerie
242,2,Arrondissement de Paris,2018-01,41,Douche
243,3,Arrondissement de Paris,2018-01,41,Laverie
244,4,Arrondissement de Paris,2018-01,41,Toilettes
245,5,Arrondissement de Paris,2018-01,41,Protections périodiques
246,6,Arrondissement de Paris,2018-01,41,Permanence juridique
247,7,Arrondissement de Paris,2018-01,41,Accompagnement social
248,8,Arrondissement de Paris,2018-01,41,Conseil administratif
249,9,Arrondissement de Paris,2018-01,41,Numérisation de documents
250,10,Arrondissement de Paris,2018-01,41,Fontaine
251,11,Arrondissement de Paris,2018-01,41,Accueil de jour
252,12,Arrondissement de Paris,2018-01,41,Pédicure
253,0,Paris,2018-01,42,Psychologie
254,1,Paris,2018-01,42,Atelier numérique
255,2,Paris,2018-01,42,Bien-être
256,3,Paris,2018-01,42,Accompagnement social
257,4,Paris,2018-01,42,Conseil administratif
258,5,Paris,2018-01,42,Ordinateur
259,6,Paris,2018-01,42,Prise
260,7,Paris,2018-01,42,Restauration assise
261,8,Paris,2018-01,42,Accueil de jour
262,9,Paris,2018-01,42,Sport
263,10,Paris,2018-01,42,Bibliothèque
264,11,Paris,2018-01,42,Activités
265,0,Paris,2018-01,43,Formation français
266,1,Paris,2018-01,43,Soutien scolaire
267,2,Paris,2018-01,43,Conseil logement
268,3,Paris,2018-01,43,Permanence juridique
269,4,Paris,2018-01,43,Domiciliation
270,5,Paris,2018-01,43,Accompagnement social
271,6,Paris,2018-01,43,Ecrivain public
272,7,Paris,2018-01,43,Prise
273,8,Paris,2018-01,43,Téléphones
274,9,Paris,2018-01,43,Numérisation de documents
275,10,Paris,2018-01,43,Accueil de jour
276,11,Paris,2018-01,43,Activités
277,0,Paris,2018-01,44,Formation français
278,1,Paris,2018-01,44,Permanence juridique
279,2,Paris,2018-01,44,Domiciliation
280,3,Paris,2018-01,44,Conseil administratif
281,4,Paris,2018-01,44,Colis Alimentaire
282,5,Paris,2018-01,44,Vêtements
283,0,Paris,2018-01,47,Atelier numérique
284,1,Paris,2018-01,47,Formation français
285,2,Paris,2018-01,47,Ordinateur
286,3,Paris,2018-01,47,Prise
287,4,Paris,2018-01,47,Accueil de jour
288,5,Paris,2018-01,47,Sport
289,6,Paris,2018-01,47,Bibliothèque
290,7,Paris,2018-01,47,Activités
291,0,Seine-Saint-Denis,2018-01,50,Psychologie
292,1,Seine-Saint-Denis,2018-01,50,Infirmerie
293,2,Seine-Saint-Denis,2018-01,50,Douche
294,3,Seine-Saint-Denis,2018-01,50,Laverie
295,4,Seine-Saint-Denis,2018-01,50,Accompagnement social
296,5,Seine-Saint-Denis,2018-01,50,Accueil de jour
297,6,Seine-Saint-Denis,2018-01,50,Hébergement à long terme
298,7,Seine-Saint-Denis,2018-01,50,Sport
299,8,Seine-Saint-Denis,2018-01,50,Activités
300,9,Seine-Saint-Denis,2018-01,50,Bagagerie
301,10,Seine-Saint-Denis,2018-01,50,Vêtements
302,0,Paris,2018-01,53,Douche
303,1,Paris,2018-01,53,Bagagerie
304,0,Paris,2018-01,54,Douche
305,0,Arrondissement de Paris,2018-01,55,Douche
306,0,Arrondissement de Paris,2018-01,56,Douche
307,0,Paris,2018-01,57,Douche
308,0,Paris,2018-01,58,Douche
309,1,Paris,2018-01,58,Laverie
310,2,Paris,2018-01,58,Permanence juridique
311,3,Paris,2018-01,58,Accompagnement social
312,4,Paris,2018-01,58,Activités
313,5,Paris,2018-01,58,Pédicure
314,0,Arrondissement de Paris,2018-01,61,Douche
315,0,Paris,2018-01,62,Douche
316,0,Arrondissement de Paris,2018-01,65,Douche
317,0,Arrondissement de Paris,2018-01,66,Douche
318,0,Arrondissement de Paris,2018-01,67,Douche
319,0,Paris,2018-01,68,Douche
320,0,Seine-Saint-Denis,2018-01,69,Psychologie
321,1,Seine-Saint-Denis,2018-01,69,Accompagnement social
322,0,Paris,2018-01,112,Accompagnement à l'emploi
323,1,Paris,2018-01,112,Permanence juridique
324,2,Paris,2018-01,112,Accompagnement social
325,3,Paris,2018-01,112,Ecrivain public
326,4,Paris,2018-01,112,Accueil de jour
327,5,Paris,2018-01,112,Activités
328,0,Paris,2018-01,113,Restauration assise
329,1,Paris,2018-01,113,Accueil de jour
330,2,Paris,2018-01,113,Activités
331,0,Arrondissement de Paris,2018-01,116,Addiction
332,1,Arrondissement de Paris,2018-01,116,Dépistage
333,2,Arrondissement de Paris,2018-01,116,Douche
334,3,Arrondissement de Paris,2018-01,116,Laverie
335,4,Arrondissement de Paris,2018-01,116,Permanence juridique
336,5,Arrondissement de Paris,2018-01,116,Conseil administratif
337,0,Paris,2018-01,117,Addiction
338,1,Paris,2018-01,117,Dépistage
339,2,Paris,2018-01,117,Généraliste
340,3,Paris,2018-01,117,Infirmerie
341,4,Paris,2018-01,117,Douche
342,5,Paris,2018-01,117,Permanence juridique
343,6,Paris,2018-01,117,Accompagnement social
344,7,Paris,2018-01,117,Accueil de jour
345,8,Paris,2018-01,117,Pédicure
346,0,Paris,2018-01,118,Addiction
347,1,Paris,2018-01,118,Psychologie
348,0,Arrondissement de Paris,2018-01,120,Addiction
349,1,Arrondissement de Paris,2018-01,120,Bien-être
350,2,Arrondissement de Paris,2018-01,120,Accompagnement social
351,0,Paris,2018-01,121,Addiction
352,1,Paris,2018-01,121,Dépistage
353,2,Paris,2018-01,121,Infirmerie
354,3,Paris,2018-01,121,Accupuncture
355,0,Paris,2018-01,123,Addiction
356,1,Paris,2018-01,123,Psychologie
357,2,Paris,2018-01,123,Généraliste
358,3,Paris,2018-01,123,Infirmerie
359,4,Paris,2018-01,123,Accompagnement à l'emploi
360,5,Paris,2018-01,123,Douche
361,6,Paris,2018-01,123,Laverie
362,7,Paris,2018-01,123,Accompagnement social
363,8,Paris,2018-01,123,Restauration assise
364,9,Paris,2018-01,123,Accueil de jour
365,0,Paris,2018-01,124,Addiction
366,1,Paris,2018-01,124,Douche
367,2,Paris,2018-01,124,Laverie
368,3,Paris,2018-01,124,Numérisation de documents
369,4,Paris,2018-01,124,Accueil de jour
370,0,Paris,2018-01,126,Addiction
371,1,Paris,2018-01,126,Psychologie
372,2,Paris,2018-01,126,Infirmerie
373,3,Paris,2018-01,126,Accompagnement à l'emploi
374,4,Paris,2018-01,126,Accompagnement social
375,0,Arrondissement de Paris,2018-01,127,Addiction
376,1,Arrondissement de Paris,2018-01,127,Psychologie
377,2,Arrondissement de Paris,2018-01,127,Infirmerie
378,3,Arrondissement de Paris,2018-01,127,Accompagnement social
379,0,Arrondissement de Paris,2018-01,129,Addiction
380,1,Arrondissement de Paris,2018-01,129,Psychologie
381,0,Paris,2018-01,130,Addiction
382,1,Paris,2018-01,130,Psychologie
383,2,Paris,2018-01,130,Permanence juridique
384,3,Paris,2018-01,130,Accompagnement social
385,4,Paris,2018-01,130,Conseil administratif
386,5,Paris,2018-01,130,Activités
387,0,Paris,2018-01,134,Addiction
388,1,Paris,2018-01,134,Psychologie
389,2,Paris,2018-01,134,Vaccination
390,3,Paris,2018-01,134,Infirmerie
391,4,Paris,2018-01,134,Conseil administratif
392,0,Seine-Saint-Denis,2018-01,136,Addiction
393,1,Seine-Saint-Denis,2018-01,136,Dépistage
394,2,Seine-Saint-Denis,2018-01,136,Psychologie
395,3,Seine-Saint-Denis,2018-01,136,Infirmerie
396,4,Seine-Saint-Denis,2018-01,136,Accompagnement à l'emploi
397,5,Seine-Saint-Denis,2018-01,136,Douche
398,6,Seine-Saint-Denis,2018-01,136,Laverie
399,7,Seine-Saint-Denis,2018-01,136,Toilettes
400,8,Seine-Saint-Denis,2018-01,136,Conseil logement
401,9,Seine-Saint-Denis,2018-01,136,Permanence juridique
402,10,Seine-Saint-Denis,2018-01,136,Domiciliation
403,11,Seine-Saint-Denis,2018-01,136,Accompagnement social
404,12,Seine-Saint-Denis,2018-01,136,Conseil administratif
405,13,Seine-Saint-Denis,2018-01,136,Ordinateur
406,14,Seine-Saint-Denis,2018-01,136,Wifi
407,15,Seine-Saint-Denis,2018-01,136,Prise
408,16,Seine-Saint-Denis,2018-01,136,Accueil de jour
409,17,Seine-Saint-Denis,2018-01,136,Sport
410,18,Seine-Saint-Denis,2018-01,136,Activités
411,0,Seine-Saint-Denis,2018-01,137,Addiction
412,1,Seine-Saint-Denis,2018-01,137,Psychologie
413,2,Seine-Saint-Denis,2018-01,137,Infirmerie
414,3,Seine-Saint-Denis,2018-01,137,Douche
415,4,Seine-Saint-Denis,2018-01,137,Laverie
416,5,Seine-Saint-Denis,2018-01,137,Accompagnement social
417,6,Seine-Saint-Denis,2018-01,137,Ordinateur
418,7,Seine-Saint-Denis,2018-01,137,Accueil de jour
419,8,Seine-Saint-Denis,2018-01,137,Espaces de repos
420,9,Seine-Saint-Denis,2018-01,137,Bibliothèque
421,0,Seine-Saint-Denis,2018-01,138,Addiction
422,1,Seine-Saint-Denis,2018-01,138,Dépistage
423,2,Seine-Saint-Denis,2018-01,138,Infirmerie
424,3,Seine-Saint-Denis,2018-01,138,Douche
425,4,Seine-Saint-Denis,2018-01,138,Laverie
426,5,Seine-Saint-Denis,2018-01,138,Toilettes
427,6,Seine-Saint-Denis,2018-01,138,Ordinateur
428,7,Seine-Saint-Denis,2018-01,138,Numérisation de documents
429,8,Seine-Saint-Denis,2018-01,138,Accueil de jour
430,9,Seine-Saint-Denis,2018-01,138,Activités
431,0,Seine-Saint-Denis,2018-01,139,Addiction
432,1,Seine-Saint-Denis,2018-01,139,Douche
433,2,Seine-Saint-Denis,2018-01,139,Laverie
434,3,Seine-Saint-Denis,2018-01,139,Toilettes
435,4,Seine-Saint-Denis,2018-01,139,Conseil administratif
436,5,Seine-Saint-Denis,2018-01,139,Wifi
437,6,Seine-Saint-Denis,2018-01,139,Prise
438,7,Seine-Saint-Denis,2018-01,139,Accueil de jour
439,0,Paris,2018-01,144,Restauration assise
440,0,Paris,2018-01,145,Restauration assise
441,0,Arrondissement de Paris,2018-01,148,Distribution alimentaire
442,0,Paris,2018-01,150,Restauration assise
443,0,Arrondissement de Paris,2018-01,151,Accompagnement social
444,1,Arrondissement de Paris,2018-01,151,Prise
445,2,Arrondissement de Paris,2018-01,151,Restauration assise
446,0,Paris,2018-01,152,Formation français
447,1,Paris,2018-01,152,Permanence juridique
448,2,Paris,2018-01,152,Accompagnement social
449,3,Paris,2018-01,152,Conseil administratif
450,4,Paris,2018-01,152,Restauration assise
451,5,Paris,2018-01,152,Colis Alimentaire
452,6,Paris,2018-01,152,Activités
453,0,Paris,2018-01,155,Distribution alimentaire
454,0,Arrondissement de Paris,2018-01,170,Restauration assise
455,0,Paris,2018-01,173,Colis Alimentaire
456,0,Paris,2018-01,174,Colis Alimentaire
457,0,Paris,2018-01,185,Conseil logement
458,0,Paris,2018-01,186,Conseil logement
459,0,Paris,2018-01,187,Conseil logement
460,0,Arrondissement de Paris,2018-01,188,Conseil logement
461,0,Paris,2018-01,189,Conseil logement
462,0,Paris,2018-01,207,Bagagerie
463,0,Paris,2018-01,208,Bagagerie
464,0,Paris,2018-01,209,Ordinateur
465,1,Paris,2018-01,209,Bagagerie
466,0,Paris,2018-01,210,Laverie
467,1,Paris,2018-01,210,Toilettes
468,2,Paris,2018-01,210,Ordinateur
469,3,Paris,2018-01,210,Bagagerie
470,4,Paris,2018-01,210,Vêtements
471,0,Paris,2018-01,211,Bagagerie
472,0,Paris,2018-01,212,Bibliothèque
473,0,Paris,2018-01,213,Ordinateur
474,1,Paris,2018-01,213,Wifi
475,2,Paris,2018-01,213,Prise
476,3,Paris,2018-01,213,Bibliothèque
477,0,Paris,2018-01,215,Ordinateur
478,1,Paris,2018-01,215,Wifi
479,2,Paris,2018-01,215,Prise
480,3,Paris,2018-01,215,Bibliothèque
481,0,Paris,2018-01,220,Soutien scolaire
482,1,Paris,2018-01,220,Ordinateur
483,2,Paris,2018-01,220,Wifi
484,3,Paris,2018-01,220,Prise
485,4,Paris,2018-01,220,Bibliothèque
486,0,Paris,2018-01,221,Ordinateur
487,1,Paris,2018-01,221,Wifi
488,2,Paris,2018-01,221,Prise
489,3,Paris,2018-01,221,Bibliothèque
490,0,Paris,2018-01,222,Ordinateur
491,1,Paris,2018-01,222,Wifi
492,2,Paris,2018-01,222,Prise
493,3,Paris,2018-01,222,Bibliothèque
494,0,Paris,2018-01,223,Formation français
495,1,Paris,2018-01,223,Prise
496,2,Paris,2018-01,223,Bibliothèque
497,0,Paris,2018-01,226,Ordinateur
498,1,Paris,2018-01,226,Wifi
499,2,Paris,2018-01,226,Bibliothèque
500,0,Paris,2018-01,227,Wifi
501,1,Paris,2018-01,227,Bibliothèque
502,0,Paris,2018-01,228,Ordinateur
503,1,Paris,2018-01,228,Prise
504,2,Paris,2018-01,228,Bibliothèque
505,0,Paris,2018-01,229,Formation français
506,1,Paris,2018-01,229,Ordinateur
507,2,Paris,2018-01,229,Wifi
508,3,Paris,2018-01,229,Prise
509,4,Paris,2018-01,229,Bibliothèque
510,0,Paris,2018-01,231,Formation français
511,1,Paris,2018-01,231,Ordinateur
512,2,Paris,2018-01,231,Wifi
513,3,Paris,2018-01,231,Prise
514,4,Paris,2018-01,231,Bibliothèque
515,0,Paris,2018-01,233,Atelier numérique
516,1,Paris,2018-01,233,Formation français
517,2,Paris,2018-01,233,Conseil administratif
518,3,Paris,2018-01,233,Ordinateur
519,4,Paris,2018-01,233,Wifi
520,5,Paris,2018-01,233,Prise
521,6,Paris,2018-01,233,Bibliothèque
522,0,Paris,2018-01,234,Bibliothèque
523,0,Paris,2018-01,237,Ordinateur
524,1,Paris,2018-01,237,Wifi
525,2,Paris,2018-01,237,Prise
526,3,Paris,2018-01,237,Bibliothèque
527,0,Paris,2018-01,238,Ordinateur
528,1,Paris,2018-01,238,Wifi
529,2,Paris,2018-01,238,Prise
530,3,Paris,2018-01,238,Bibliothèque
531,0,Paris,2018-01,239,Atelier numérique
532,1,Paris,2018-01,239,Formation français
533,2,Paris,2018-01,239,Ecrivain public
534,3,Paris,2018-01,239,Ordinateur
535,4,Paris,2018-01,239,Wifi
536,5,Paris,2018-01,239,Prise
537,6,Paris,2018-01,239,Bibliothèque
538,0,Paris,2018-01,240,Ordinateur
539,1,Paris,2018-01,240,Wifi
540,2,Paris,2018-01,240,Prise
541,3,Paris,2018-01,240,Bibliothèque
542,0,Paris,2018-01,241,Formation français
543,1,Paris,2018-01,241,Ordinateur
544,2,Paris,2018-01,241,Wifi
545,3,Paris,2018-01,241,Prise
546,4,Paris,2018-01,241,Bibliothèque
547,0,Paris,2018-01,242,Formation français
548,1,Paris,2018-01,242,Soutien scolaire
549,2,Paris,2018-01,242,Ordinateur
550,3,Paris,2018-01,242,Wifi
551,4,Paris,2018-01,242,Prise
552,5,Paris,2018-01,242,Bibliothèque
553,0,Paris,2018-01,243,Prise
554,1,Paris,2018-01,243,Bibliothèque
555,2,Paris,2018-01,243,Activités
556,0,Paris,2018-01,244,Bibliothèque
557,0,Paris,2018-01,245,Ordinateur
558,1,Paris,2018-01,245,Wifi
559,2,Paris,2018-01,245,Prise
560,3,Paris,2018-01,245,Bibliothèque
561,0,Paris,2018-01,247,Ordinateur
562,1,Paris,2018-01,247,Wifi
563,2,Paris,2018-01,247,Prise
564,3,Paris,2018-01,247,Bibliothèque
565,0,Paris,2018-01,248,Formation français
566,1,Paris,2018-01,248,Soutien scolaire
567,2,Paris,2018-01,248,Protections périodiques
568,3,Paris,2018-01,248,Ecrivain public
569,4,Paris,2018-01,248,Ordinateur
570,5,Paris,2018-01,248,Wifi
571,6,Paris,2018-01,248,Prise
572,7,Paris,2018-01,248,Bibliothèque
573,0,Paris,2018-01,249,Atelier numérique
574,1,Paris,2018-01,249,Ordinateur
575,2,Paris,2018-01,249,Wifi
576,3,Paris,2018-01,249,Bibliothèque
577,0,Paris,2018-01,250,Atelier numérique
578,1,Paris,2018-01,250,Formation français
579,2,Paris,2018-01,250,Soutien scolaire
580,3,Paris,2018-01,250,Bien-être
581,4,Paris,2018-01,250,Ordinateur
582,5,Paris,2018-01,250,Wifi
583,6,Paris,2018-01,250,Prise
584,7,Paris,2018-01,250,Bibliothèque
585,0,Paris,2018-01,251,Formation français
586,1,Paris,2018-01,251,Ordinateur
587,2,Paris,2018-01,251,Wifi
588,3,Paris,2018-01,251,Prise
