Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
ANCT (agence nationale de la cohésion des territoires),"Marine Choquin,Marianne Hirsch, Martin Charron,Romain Cordier","""CR  Marine Choquin, Marianne Hirsch ANCT (agence nationale de la cohésion des territoires) 2021-11-08T11:13:05.000Z"",""CR   Martin Charron, Romain Cordier ANCT (agence nationale de la cohésion des territoires) 2021-12-17T09:04:28.000Z""",Financeur,,,,2022 - Transformation numérique des collectivités territoriales (ANCT),,,,,,,8/11/2021
ANDES," Marie GIRAULT,Mathieu Adeline","CR   Marie GIRAULT ANDES 2021-05-31T16:27:49.000Z,CR  Mathieu Adeline ANDES 2021-12-02T09:15:55.000Z","Soliguide,Opérationnel,Co-construction",En cours (contact/actions régulières),Réseau d'épiceries sociales appartenant au groupe SOS,https://andes-france.com/,,,,,,,,31/5/2021
ANEF 15 - SIAO Cantal,"Nathalie BOIVENT,Murielle Apchin","""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z"",""CR  Nathalie BOIVENT, Murielle Apchin ANEF 15 - SIAO Cantal 2021-11-08T16:47:41.000Z"",""CR  Valérie Gauzentes Cœurdane, Karine Cadoux, Nathalie BOIVENT, Pierre Beaumont, Marie-Eve Gorgas DDETS Cantal (15), ANEF 15 - SIAO Cantal, CCAS Aurillac (cantal), Conseil départemental du Cantal (15) 2022-01-13T17:11:04.000Z""",,En cours (contact/actions régulières),,,,,,,"Cantal,Puy-de-Dôme,Cantal","Cantal,Cantal",,29/7/2021
ANEF 63 / SIAO ,"Gilles Loubier ,Antoine Bouvet,Gilles Loubier ,Cécile Scocard,Marilyne Bertrand","""CR  Loraine Henry, Marie-Rose Gremeau , Gilles Loubier , Marie Thonier , Pascale Blanchetière, Flore Chalayer Collectif Partages et Projets , Secours Catholique 63, ANEF 63 / SIAO , FAS Auvergne-rhône-alpes, URIOPSS Auvergne-Rhône-Alpes 2021-10-13T17:03:08.000Z"",""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z"",""CR  Marilyne Bertrand, Cécile Scocard ANEF 63 / SIAO  2021-12-14T18:48:44.000Z""",Solinum,En cours (contact/actions régulières),,,,,,,"Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme","Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme",,13/10/2021
ANSA,"Louis Rouget,Simon Roussey,Sophie Lochet,Anaïs Clergeau,Sarah Solchany","CR  Simon Roussey ANSA 2021-04-22T14:29:49.000Z,CR  Simon Roussey ANSA 2021-05-12T11:33:33.000Z,CR  Sophie Lochet ANSA 2021-05-21T09:35:13.000Z,CR  Simon Roussey ANSA 2021-05-25T11:59:54.000Z,CR  Simon Roussey ANSA 2021-06-18T10:58:25.000Z,""CR  Anaïs Clergeau, Marianne Blehaut ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie), Préfecture Ile-de-France 2021-07-23T11:41:44.000Z"",""CR  Marianne Blehaut Préfecture Ile-de-France, ANSA, CREDOC (Centre de Recherche pour l'Étude et l'Observation des Conditions de Vie) 2021-10-14T08:30:47.000Z"",""CR  Sarah Solchany, Tara De Condappa ANSA, DGCS 2021-12-01T09:07:02.000Z""","Financeur,Soliguide",En cours (contact/actions régulières),,https://www.ansa.fr/,Creation site ANSA,,,,,,,3/2/2021
Août Secours Alimentaire,Anne-Marie BREDIN,CR  Anne-Marie BREDIN Août Secours Alimentaire 2021-01-20T12:25:50.000Z,Soliguide,En cours (contact/actions régulières),,,,,,,Paris,Paris,,20/1/2021
Apprentis d'Auteuil,Fatima Bensalem,,Soliguide,,,,,,,,,,,23/6/2021
APRAS,Caroline Vallaut,,Soliguide,,Action Sociale,https://www.apras.org,,"6, Cour des Alliés 35000 Rennes","Créée en 1977, c’est une association loi 1901 qui regroupe 9 membres institutionnels : la Ville de Rennes, Rennes Métropole, le Conseil Départemental, Archipel Habitat, Néotoa, Espacil Habitat, Aiguillon Construction, le CCAS de la Ville de Rennes et la CAF d’Ille et Vilaine.

Mise en place du dispositif Sortir ! sur la Métropole de Rennes. ",,,,,1/10/2021
Aquitaine Active,Contact Aquitaine Active,,Financeur,,Financeur solidaire pour l'emploi,www.aquitaineactive.org,Cap amorçage 2018,,,,,,,18/2/2020
Archipel des utopies,,,"Soliguide,Financeur",,Aide au démarrage de projets d'interet general,https://archipel-utopies.com/,"Archipel des utopies 2018,Archipel des utopies 2019,Archipel des utopies 2020",,,,,,,19/2/2020
Arès,Guillaume HERISSON,CR  Guillaume HERISSON Arès 2021-07-31T15:20:22.000Z,,,,,,,,,,,,31/7/2021
AREVE,"Philippe Mora,Christiane COULET,Rosa Ould Ameziane ",,"Merci pour l'invit',Orientation MPLI,Opérationnel",En cours (contact/actions régulières),"Accueillir, héberger, accompagner et aider à l’intégration des demandeurs d’asile et des réfugiés",https://areve33.wordpress.com/,,,"Orientation d'une personne officieusement mais n'a pas marché, en raison du manque d'autonomie de la personne mais aussi en l'absence de suivi social assuré par un professionnel",,,"Gironde,Gironde,Gironde",Gironde,19/3/2021
Armée du salut Paris,Cyrielle Gental,,Orientation MPLI,,,,,,,,,Paris,,2/11/2021
ARPE,contact@arpe-paris.fr,,Locaux,,,https://www.arpe-paris.fr/  ,,"20 Rue Charles Fourier, 75013 Paris","Capacité d'accueil/Matériel
> Salle entre 20 personnes et 40 personnes

Prix
> Entre 20euros et 40 euros HT/h

Personne à contacter
>

",,,,,25/3/2021
ARS 94,,,"Soliguide,Co-construction",Souhaité,,,,,,,,,Val-de-Marne,14/1/2022
ARS Grand Est ,Lydia FLEURY,,"Soliguide,Financeur",,Pilotage régional du système national de santé,https://www.grand-est.ars.sante.fr/,,"3, Boulevard Joffre - 54000 Nancy",Plusieurs délégations territoriales voir organigramme ici : https://www.grand-est.ars.sante.fr/media/26464/download,,,,,5/8/2021
ARS Ile de France,"Isabelle Chabin-Gibert,Barbara Bertini","CR  Isabelle Chabin-Gibert ARS Ile de France 2021-07-14T15:53:09.000Z,""CR  Isabelle Chabin-Gibert, Barbara Bertini ARS Ile de France 2021-12-10T17:07:14.000Z""",Soliguide,,,,,,,,,,,21/7/2020
ARSL (association de réinsertion sociale du limousin) / SIAO Haute-vienne,Stéphane Razgallah,"CR  Stéphane Razgallah ARSL (association de réinsertion sociale du limousin) / SIAO Haute-vienne 2021-10-06T12:48:05.000Z,""CR  Stéphane Razgallah, Aurélie Lecointre, Marie-Véronique Laplaud ARSL (association de réinsertion sociale du limousin) / SIAO Haute-vienne, CCAS de Limoges, """"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations """" 2021-11-23T11:12:51.000Z""",,,,http://www.arsl.eu/,,,,,"Haute-Vienne,Haute-Vienne",Haute-Vienne,,6/10/2021
Askoria,"Marion Eslinger,Marine Simon","CR  Marion Eslinger Askoria 2021-07-14T15:53:12.000Z,CR  Marion Eslinger Askoria 2021-11-09T14:54:10.000Z,CR  Marine Simon Askoria 2022-01-31T15:55:25.000Z","Solinum,Soliguide,Merci pour l'invit',Communication,Locaux,Co-construction",En cours (contact/actions régulières),Ressources solidaires,https://www.askoria.eu/,,,,,"Ille-et-Vilaine,Ille-et-Vilaine,Côtes-d'Armor,Morbihan,Morbihan,Ille-et-Vilaine","Ille-et-Vilaine,Ille-et-Vilaine,Morbihan",,14/7/2021
Association Adalea,Nathalie BERTHOU,,Soliguide,,Association porteuse SIAO 22,,,"50 rue de la Corderie, 22000 Saint-Brieuc",,,,Côtes-d'Armor,,18/11/2021
Association Déclic' Mantes la Jolie,Philippe Langonné,,Soliguide,,,,,,,,,,,20/1/2021
Association des Jeunes Amis du Marais (AJAM) - Equipe du 19ème arrondissement,Pauline BURET,,Orientation MPLI,,Education spécialisée,,,,,,,Paris,,2/11/2021
Association des maires d'Ile de France,,,Solinum,,,,,,,,,,,20/1/2021
Association Etage,,,Soliguide,,principal lieu d’accueil et d’accompagnement de jeunes de moins de 25 ans en situation de rupture,https://association-etage.fr/,,,,,,,,3/2/2021
Association Insertion Solidarité Logement,,,Merci pour l'invit',,,,,,,,,,,7/5/2021
Association insertion solidarité logement ,Charlotte LE MAGUER,CR  Charlotte LE MAGUER Association insertion solidarité logement  2021-05-07T17:47:52.000Z,Merci pour l'invit',,insertion logement ,https://www.aisl-nantes.org/nous-connaitre/organisation/,,,,,Loire-Atlantique,,,22/6/2021
Association Qualitel,Chantal Jannet,,"Financeur,Merci pour l'invit'",,Qualité du logement,https://www.qualitel.org/,"Association Qualitel 2018,Association Qualitel 2019,Association Qualitel 2020",,,,,,,19/2/2020
Association Revivre,Alain Jezequel,"""CR  Caroline Nigon, Alain Jezequel DRIHL, Préfecture Ile-de-France, Association Revivre 2021-10-20T14:34:31.000Z""","Solinum,Soliguide,Opérationnel,Co-construction",,Approvisionnement et logistique aide alimentaire et hygiène,https://revivre-monde.org/,,,"""ReVIVRE est, depuis sa création, un maillon opérationnel dans la chaine de solidarité contre la précarité alimentaire et sociale. Les associations ReVIVRE ont développé une expertise en approvisionnement et logistique de l’aide alimentaire et hygiène. Dans le même temps, ReVIVRE conçoit et développe des programmes innovants pour améliorer la qualité de l’alimentation des plus démunis.""

ReVIVRE est également présent et en relation étroite avec des institutions partenaires des nôtres et son Président Alain Jezequel est co-animateur du GT5 de la Stratégie de lutte contre la pauvreté.",,,,,20/10/2021
Assurance Maladie,,"""CR  Zarah NABI, Mylène BONTANT Assurance Maladie 2021-05-14T13:25:10.000Z""",Soliguide,,Accompagnement social - Droits et Démarches – Remboursements – Prestations et aides – Santé – Offres de prévention,https://www.ameli.fr/,,,,,Val-d'Oise,,,14/5/2021
Atout Soleil,,,Financeur,,,https://www.gpma-asso.fr/atout-soleil/,Les mardis solidaires d'Atout Soleil,,,,,,,3/2/2021
Audencia,Catherine CHASSANITE,CR  Catherine CHASSANITE Audencia 2022-01-04T16:41:49.000Z,,,,,,,,,Loire-Atlantique,Loire-Atlantique,Loire-Atlantique,4/1/2022
Aurore,Guillaume Demirhan,,Soliguide,,,,,,,,,,,22/6/2021
BAAM - Bureau d'accueil et d'accompagnement des migrants ,Oriane (BAAM Paris),,Orientation MPLI,,,,,,,,,Paris,,2/11/2021
Banque alimentaire 13,BLENY Louise,"CR  BLENY Louise Banque alimentaire 13 2021-03-23T14:41:45.000Z,CR  BLENY Louise Banque alimentaire 13 2021-05-10T16:40:34.000Z,""CR  Pierre-Olivier Dolino, Emilia Sinsoilliez, Elsa Ferri-Battini, Axelle Cuny, BLENY Louise Action contre la faim France, Banque alimentaire 13, Préfecture des Bouches-du-rhône (13), Mairie du 3ème arrondissement de marseille 2021-06-10T16:52:39.000Z"",CR  BLENY Louise Banque alimentaire 13 2021-08-24T13:47:49.000Z,""CR   Banque alimentaire 13, Action contre la faim France 2021-11-09T17:51:35.000Z""",Soliguide,,,,,,,,"Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône,Bouches-du-Rhône",,,23/3/2021
Banque alimentaire 59,,,"Co-construction,Locaux",Contacté/ en négociation,Distribution alimentaire,https://ba59.banquealimentaire.org/,,Port de Lille - 2e rue Bâtiment A,,,,,Nord,18/1/2022
Banque Alimentaire Île-de-France,Nicole Farlotti,CR  Nicole Farlotti Banque Alimentaire Île-de-France 2021-01-28T17:46:17.000Z,"Soliguide,Opérationnel",,,,,,,,,,,28/1/2021
Banque des territoires,Perrine Le Parc,CR  Perrine Le Parc Banque des territoires 2022-01-21T15:33:14.000Z,Financeur,,,,,,,,,,,21/1/2022
Banque Populaire,,CR  Isabelle Galand Banque Populaire 2021-02-24T08:56:50.000Z,"Soliguide,Financeur",,,,,,,,Bas-Rhin,,,24/2/2021
Benevolt,"Anne-Laure Mesguen,Maxime Pauvert","""CR  Anne-Laure Mesguen, Maxime Pauvert Benevolt 2021-12-13T08:10:46.000Z""",Mécénat/bénévolat,,,,,,,,,,,13/12/2021
Bérengère Fourcade,,CR   Bérengère Fourcade 2021-10-22T12:53:31.000Z,Solinum,Terminé,Bénévole,,,,,,,,,22/10/2021
beta.gouv,"Valentine Michaud,Thomas Guillet,Agathe Latreille,Ronan JAMES,Caroline de Kerhor,Joe Achkar,Arnaud Denoix","""CR  Thomas Guillet, Joaquim Martins beta.gouv, Département de l'Eure-et-Loir 2021-03-09T16:22:49.000Z"",CR  Valentine Michaud beta.gouv 2021-03-11T10:32:50.000Z,CR  Agathe Latreille beta.gouv 2021-04-02T14:00:49.000Z,""CR  Julie Ripa, Caroline de Kerhor beta.gouv 2021-05-07T17:47:52.000Z"",CR  Agathe Latreille beta.gouv 2021-05-12T11:28:30.000Z,""CR  Julie Ripa, Caroline de Kerhor beta.gouv 2021-05-28T09:38:32.000Z"",CR  Agathe Latreille beta.gouv 2021-06-04T12:28:51.000Z,""CR  Agathe Latreille, Hélène Kergoat, Arnaud Denoix beta.gouv, Collectif emploi 2021-06-07T14:06:11.000Z"",""CR  Agathe Latreille, Hélène Kergoat beta.gouv, Collectif emploi 2021-07-14T15:53:12.000Z"",""CR  Arnaud Denoix, Agathe Latreille, Julie Ripa beta.gouv 2021-11-10T17:51:18.000Z""","Soliguide,API",,,,,,,,Eure-et-Loir,,,9/3/2021
BFM Business,,,Financeur,,,https://www.bfmtv.com/economie/,"Tech for Good Awards,Tech for good awards 2021",,,,,,,15/4/2021
Bibliothèques sans frontières,Margaux Cosnier ,,Solinum,,,,,,,,,,,22/6/2021
Bimbamjob,"hann el-bouhssaini,Violette Bailly,Fabian Langlet,Hugo Robellaz,Aurelie Lavaud","CR  hann el-bouhssaini Bimbamjob 2021-01-15T13:52:07.000Z,CR  Violette Bailly Bimbamjob 2021-02-02T14:45:52.000Z,CR  Fabian Langlet Bimbamjob 2021-02-18T12:17:14.000Z,CR  Fabian Langlet Bimbamjob 2021-04-01T16:42:36.000Z,""CR  Fabian Langlet, Hugo Robellaz Bimbamjob 2021-07-16T13:43:40.000Z"",CR  Hugo Robellaz Bimbamjob 2022-01-07T09:33:33.000Z","Soliguide,API",En cours (contact/actions régulières),,,,,,,Paris,,,20/1/2021
Bordeaux Mecenes Solidaires,Stéphanie Ioan  ,,Financeur,Terminé,Solidarité locale,https://www.bordeauxmecenes.org/,"Bordeaux mécénes solidaires 2020,""Bordeaux Mécènes Solidaires -
  LOGEMENT ET SOLIDARITÉ -automne 2018"",bordeaux mécènes solidaires,Bordeaux Mécènes Solidaires 2016,Bordeaux Mecenes Solidaires,""BMS : Insertion sociale, Insertion professionnelle et Lutte contre les précarités """,,,,,Gironde,,19/2/2020
Bordeaux Métropole,"Charles Reveillard,Fabienne ORE-COURREGELONGUE,Emmanuel Cunchinabe,Guillaume Cherel,Stephane Fuseau","""CR  Guillaume Cherel, Audrey Moizan Bordeaux Métropole, Fondation Caisse de Dépôts et   Consignations ( CDC de Bordeaux) 2021-07-10T11:56:12.000Z"",CR  Stephane Fuseau Bordeaux Métropole 2021-09-16T13:47:33.000Z,CR  Guillaume Cherel Bordeaux Métropole 2022-01-19T16:43:57.000Z",Financeur,En cours (contact/actions régulières),,,"Subvention Bordeaux Métropole 2019,""Appel à projet ville de
  bordeaux http://www.bordeaux.fr/p101559#pour-deposer-sa-candidature"",FONDS D'URGENCE POUR LES PETITES ENTREPRISES ET LES ASSOCIATIONS,""Appel à projet - 7e quinzaine de l'égalité, la diversité et la citoyenneté"",Subvention 2021 Bordeaux Métropole,Prix coup de coeur ESS Bordeaux métropole 2020,Appel à projets Contrat de ville,Appel à projet soutien aux initiatives pour lutter contre la précarité des étudiants",,,,"Gironde,Gironde","Gironde,Gironde,Gironde",,18/2/2020
Boston Consulting Group,Sarah Bouselham,CR  Sarah Bouselham Boston Consulting Group 2021-12-10T17:06:23.000Z,"Financeur,Soliguide",,"Innovation, Viabilité économique, Impact social en France",https://www.bcg.com/fr-fr/default.aspx,"""BCG prix de l'entrepreneur
  social""",,,,,,,19/2/2020
Boussole solidaire,,,"Soliguide,API",,Insertion professionnelle des jeunes ,https://boussole.jeunes.gouv.fr/,,,,,,,,12/5/2021
Breizhacking,Noémie MOURET,,Financeur,,French tech Bretagne,https://www.breizhacking.org/,Breizhacking20,,,,,,,19/2/2020
Bug - Rennes,Raphaël MADY,CR  Raphaël MADY Bug - Rennes 2021-10-13T15:21:28.000Z,"Solinum,Soliguide",,Numérique,https://www.asso-bug.org/,,"6 cours des Alliés, 35000 Rennes",,,Ille-et-Vilaine,,,13/10/2021
Bulles Solidaires,,,Soliguide,,Hygiène et Solidarités,https://www.bulles-solidaires.com,,,,,,,,5/10/2021
BXLRefugees,Anne-Catherine DENEVE,CR  Anne-Catherine DENEVE BXLRefugees 2021-07-14T15:53:12.000Z,Merci pour l'invit',,Hébergement solidaire,http://www.bxlrefugees.be/,,,,,,,,14/7/2021
CAF 63,Béatrice Aune ,"""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,Puy-de-Dôme,Puy-de-Dôme,,29/10/2021
CAF 67,,,Soliguide,,,https://www.caf.fr/allocataires/caf-du-bas-rhin/accueil,,,,,,,,3/2/2021
CAF 76,Olivier Couture,,Soliguide,,,,,,,,,Seine-Maritime,,22/6/2021
CAF 77,,,,,,,Appel à projet Innovations - Fonds public et territoire CAF 77,,,,,,,12/10/2021
CAF 87  Allocation Familiale Haute-Vienne,Anne-Marie FATOUX-JEAN,CR  Anne-Marie FATOUX-JEAN CAF 87  Allocation Familiale Haute-Vienne 2022-01-31T10:32:25.000Z,Soliguide,Souhaité,Organisme Paritaire,https://www.caf.fr/allocataires/caf-de-la-haute-vienne/accueil,,"25 Rue Firmin Delage, 87046 Limoges Cedex1","Mise en lien via Directeur Pole ARSL Asso  en charge  SIAO 87
RDV téléphonique le 21/01/2022",,Haute-Vienne,Haute-Vienne,Haute-Vienne,20/1/2022
CAF 92,"Ariel MATHOT,Marie Vignes","CR   CAF 92 2021-01-21T09:06:55.000Z,CR  Ariel MATHOT CAF 92 2021-02-23T08:29:13.000Z,CR  Ariel MATHOT CAF 92 2021-02-23T08:36:59.000Z",Soliguide,Souhaité,,,,,,,"Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine","Hauts-de-Seine,Hauts-de-Seine",,20/1/2021
CAF 94,,,"Soliguide,Co-construction,Financeur",Souhaité,,,,,Pas de retour à mon mail (+ relance). Contact = Jacqueline POLIZZI,,,,Val-de-Marne,14/1/2022
